"external_gene_name"
"RSAD2"
"BST2"
"CMPK2"
"RGCC"
"MX2"
"PLAC8"
"IFI44L"
"IFIT3"
"IFIT1"
"HERC5"
"DKK1"
"LOC101928687"
"OAS2"
"PSG5"
"USP18"
"ISG15"
"ADAMTS1"
"SLC40A1"
"BTBD16"
"LGALS3BP"
"MX1"
"CFB"
"PSMB8-AS1"
"IFITM1"
"IFITM2"
"GAST"
"PPM1K"
"LY6E"
"LINC00113"
"PARP9"
"TRIM69"
"OASL"
"IFI35"
"RP4-781L3.1"
"DDX58"
"TRIM21"
"CARD16"
"IRF7"
"PNPT1"
"OAS1"
"DDX60"
"PSG9"
"IFI6"
"PYGB"
"EVA1A"
"HCP5"
"GPX2"
"OAS3"
"TIMP1"
"ZNF488"
"S100A4"
"IFNK"
"UBE2L6"
"FAM27B"
"FAM27C"
"HELZ2"
