regulator,p_value,overlap_genes,n_overlap,fdr
IL10,1.669111185268787e-24,"BTN3A2,C1RL,C1S,CASP4,CD47,CDC42EP4,CEBPD,CTDSP2,CTSB,CTSC,DRAM1,EHD1,FZD5,IFI16,IFI44,IFI6,IFIT2,IFIT3,IFITM2,JUNB,KLF6,LAP3,LGALS8,LGMN,LY96,LYN,MAFB,MAN1A1,MVP,PIM1,PLSCR1,PMAIP1,PROS1,QPCT,SAMD9,SECTM1,SERPINB1,STAT3,TNFAIP3",39,7.738606404428013e-24
IL36,1.820286004782374e-21,"ANGPTL4,C1R,CARHSP1,CD47,CFLAR,CYLD,DRAM1,EDN1,GCH1,HBEGF,HDAC9,IL32,ITSN2,KLF4,LYN,MARCKSL1,MMP1,MYO1B,N4BP1,NAV3,NFKBIA,NT5C2,PIM1,PLAUR,PLOD2,PMAIP1,PPP1R15A,PRDM1,PTGS2,QPCT,SERPINB1,SYNPO,TNC,TNFAIP2,TNFAIP3,TNIP1",36,7.152768709773443e-21
LIF,1.8232547691579366e-21,"ADAMTSL4,ANGPTL4,BACH1,BHLHE40,BMP2,C1R,C1S,CASP4,CEBPD,CTNNBL1,DUSP10,EDN1,FEM1C,GBP1,GBP2,GCH1,IFI44,IFI6,IFIT3,IFITM2,IRF7,JUNB,MR1,MYD88,PANX1,PARP8,PIM1,PLAUR,PROCR,RPS6KA4,SECTM1,SERPINB1,SMAD7,STAT1,TNC,TNFAIP2",36,7.152768709773443e-21
IL6,1.6198294345875487e-19,"B2M,BHLHE40,C1RL,CASP4,CEBPD,EMP2,GBP2,HLA-A,HLA-C,HLA-E,IFI35,IFITM1,IFITM2,IRF1,IRF7,JUNB,LGALS3BP,LGALS8,MAFB,MUC1,MVP,NMI,OPTN,PLSCR1,RAB27A,RAB31,SECTM1,SERPINB1,SFT2D2,STAT1,STAT3,TAP1,TNFAIP3,UBE2L6",34,5.900807225997499e-19
IL21,1.4481278177589801e-18,"BTN2A2,CEBPD,CREM,GBP1,GBP2,IFI16,IFI35,IFITM1,IL32,IRF1,IRF7,JUNB,LBH,MAN1A1,MVP,PHF11,PIM1,PLSCR1,PRDM1,PSMB8,PUS3,RAB27A,RAB8B,SERPINB1,SP110,STAT1,STAT3,TAP1,TNFAIP3,TNIP1,TNIP2,TRAFD1,ZNF267",33,4.923634580380533e-18
IL4,1.0291695453837141e-16,"BHLHE40,CASP7,CBR3,CTSC,DRAM1,DUSP10,EHD1,GBP1,GCH1,HBEGF,HLA-DPA1,IFI44,IFI6,IFIT3,JAK2,KLF4,LYN,MYD88,NFKBIA,NINJ1,PANX1,PIM1,PLAUR,PLSCR1,PMAIP1,PTGS2,RAB27A,RALA,RNF19B,RNF24,TRAFD1",31,3.280477925910589e-16
Activin A,8.190394792831081e-16,"ARL4D,BHLHE40,BMP2,BTN3A2,CDC42EP4,CFLAR,CLU,DUSP10,FZD5,ID1,KLF6,MAN1A1,NEK7,NFKBIA,PCDH7,PLOD2,PMAIP1,PRDM1,PROS1,PSMB8,SAMHD1,SMAD7,STXBP1,TAP1,TAP2,TBC1D9,TNC,TP53BP2,TRIM22,VAMP8",30,2.4571184378493244e-15
BMP6,6.25050500075656e-15,"BHLHE40,BMP2,CDCP1,CEBPD,CFLAR,EFNB2,FADS3,GBP2,GCH1,GCLM,ID1,IFI16,IRF1,MAFB,MAN1A1,MICB,MVP,PANX1,PARP12,PIM1,PLAUR,RAB27A,RAB31,SECTM1,SMAD7,SPSB1,TAP1,TMEM158,TNC",29,1.7709764168810253e-14
IL22,4.564680817432525e-14,"BHLHE40,CARHSP1,CASP4,CDCP1,FLNB,FLOT2,HRH1,ID1,IFIT3,IFITM1,IFITM2,IL32,INPP1,ITSN2,JUNB,LYN,MR1,MYD88,NDRG1,NMI,NRG1,PLAUR,PROCR,RAB31,SERPINB1,SP110,STAT3,TINF2",28,1.2252564299424146e-13
IL12,3.206099248017059e-13,"BAK1,BHLHE40,CBR3,CYLD,DNPEP,GBP1,GBP2,GCH1,HBEGF,IFI35,IL32,IRF1,JUNB,LAP3,MICB,PCYT1A,PIM1,PMAIP1,PRDM1,RAB27A,RALA,SAMD9,SERPINB1,STAT3,TICAM1,TOP1,TRAFD1",27,8.1755530824435e-13
EGF,2.1526216784434757e-12,"ANGPTL4,BHLHE40,BMP2,CLCF1,DCP1A,EFNB2,GPRC5A,HBEGF,ID1,INPP1,JUNB,KLF4,KLF6,LYN,MYO1B,PANX1,PLAUR,PMAIP1,PPP1R15A,PTGS2,RHOB,SPHK1,TMEM158,TNFAIP3,TOP1,ZNF267",26,4.990168436391694e-12
NO,2.1502266510100997e-12,"CREM,DUSP10,GABARAPL1,GCH1,HBEGF,HRH1,ID1,IFITM2,IRF7,KLF6,MMP1,MTMR11,NDRG1,PIM1,PLAUR,PMAIP1,PPP1R15A,PRDM1,PTGS2,RNF19B,SMAD7,SNX16,SPSB1,TAP2,TNFAIP3,UBE2L6",26,4.990168436391694e-12
PGE2,1.3830014569933934e-11,"CEBPD,CFLAR,CREM,DRAM1,DUSP10,GBP1,GPRC5A,HBEGF,ID1,IFIT2,IFIT3,KLF6,MTMR11,NDRG1,NFKBIA,NINJ1,PLAUR,PPP1R15A,PTGS2,RHOB,SPHK1,SPSB1,TNC,TNFAIP3,TNFAIP8",25,2.8213229722665226e-11
TGFB1,1.3800677408846246e-11,"ANGPTL4,BHLHE40,BPGM,CDC42EP4,CEBPD,EDN1,FERMT2,GABARAPL1,HBEGF,IFIT2,IFIT3,JUNB,LBH,LIMK1,NEDD9,PLAUR,PLOD2,QPCT,RALA,RHOB,SMAD7,SMURF1,SPHK1,SPSB1,TNS1",25,2.8213229722665226e-11
TGFB2,1.3830014569933934e-11,"ADCY7,BHLHE40,C1R,C1S,CD47,CEBPD,EDN1,ERAP2,FERMT2,GBP2,GPRC5A,HBEGF,HDAC9,HLA-E,IFI35,IFIT2,IFIT3,IFITM1,JUNB,LBH,LY96,PROS1,SMAD7,SPHK1,TNS1",25,2.8213229722665226e-11
IL17A,8.463836022801001e-11,"C1RL,CFLAR,HBEGF,HLA-E,ID1,IFI6,KLF4,LYN,MYO1B,NAGK,NFKBIA,PANX1,PIM1,PLAUR,PMAIP1,PPP1R15A,PTGS2,RAB31,SECTM1,SMAD7,SPHK1,STAT2,TDRD7,TNFAIP3",24,1.5987245820846334e-10
WNT3A,8.463836022801001e-11,"ADAMTSL4,ANGPTL4,APOBEC3F,ATP9A,BHLHE40,BMP2,BTN3A1,CTSB,EDN1,GABARAPL1,IFITM1,JUNB,KLF6,LBH,LGALS8,PMAIP1,PRDM1,QPCT,SCYL3,SMAD7,SYNPO,TMEM158,TNC,TRAFD1",24,1.5987245820846334e-10
HGF,4.937771842962101e-10,"ANGPTL4,CARHSP1,CDCP1,CLCF1,EFNB2,EHD1,FERMT2,GBP2,HBEGF,IFIT3,IRF1,MMP1,MVP,NAV3,NEDD9,NRG1,PLAUR,PROCR,PSMB8,PTGS2,SPHK1,TMEM158,TNFAIP3",23,8.993798713966684e-10
BMP2,2.7492065431467387e-9,"ABAT,APOL2,BHLHE40,BMP2,CLU,DUSP10,EFNB2,ID1,IFI6,JUNB,LBH,LGMN,MAFB,NEDD9,NFKBIA,PARP12,PMAIP1,PROS1,RAB31,SMAD7,TMEM158,TNC",22,4.673651123349456e-9
HMGB1,2.7442208612146076e-9,"CALCOCO2,CARHSP1,CEBPD,CFLAR,DPYD,EDN1,IFI16,IFIT2,IL32,IRF7,KLF6,LAP3,MYO1B,NINJ1,NMI,PARP12,PLAGL2,QKI,TAPBPL,TMEM62,TNFAIP3,TRIM22",22,4.673651123349456e-9
BMP4,1.450166939978779e-8,"B2M,DOK4,GABARAPL1,GSTK1,ID1,IFI16,LBH,MAFB,MAN1A1,NEK7,NFKBIA,PLOD2,PLSCR1,PROS1,RAB31,SERPINB6,SFT2D2,SMAD7,SPSB1,TBC1D9,VAMP8",21,2.243087057043536e-8
FGF2,1.451409272204641e-8,"BHLHE40,BTN3A1,CDC42EP4,CDCP1,EHD1,GCH1,HLA-A,HLA-C,INPP1,MAFB,MTMR11,NEDD9,PLAGL1,PMAIP1,PPP1R15A,PROCR,PTGS2,TMC6,TMEM158,TNS1,UBE2L6",21,2.243087057043536e-8
MCSF,1.450166939978779e-8,"ACP2,CTSB,DRAM1,DYRK4,EHD1,FZD5,GCH1,HBEGF,IRF7,JUNB,LGMN,LY96,MARCKSL1,MTMR11,NFKBIA,OPTN,PANX1,PMAIP1,PSME1,RALA,TNFAIP3",21,2.243087057043536e-8
GDF11,7.266087653817848e-8,"ARL4D,BHLHE40,BMP2,CDCP1,CLCF1,CLU,CYP2J2,EDN1,HBEGF,HRH1,ID1,IRF7,JUNB,PRDM1,PTGS2,SECTM1,SMAD7,SPSB1,SYNJ2,TMEM158",20,1.0899131480726772e-7
TRAIL,3.4423611698547546e-7,"BHLHE40,EHD1,ERAP2,HBEGF,IL32,IRF1,JUNB,KLF4,KLF6,LAP3,NFKBIA,PLAUR,PMAIP1,PPP1R15A,RHOB,RNF19B,TNFAIP2,TNFAIP3,TNIP1",19,4.876678323960903e-7
VEGFA,3.4423611698547546e-7,"BHLHE40,BMP2,CREM,DUSP10,EDN1,GBP2,GCH1,HBEGF,JUNB,KLF4,LBH,NDRG1,NEDD9,PLAUR,PMAIP1,PRDM1,PTGS2,TNFAIP1,TNFAIP3",19,4.876678323960903e-7
