regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
IL4,cytokine,8.15e-47,1.13e-44,"ACP2,ACP5,APOL6,BPGM,BST2,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CIITA,CPEB3,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,GBP1,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HSD11B1,IDO1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL32,INPP1,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAP3,LY75,MX1,MX2,OAS1,OAS2,OAS3,OASL,OGFR,PDCD1LG2,PLOD2,PSMB10,PSMB8,RIGI,RSAD2,SAMD9,SEC24A,SERPINB9,SH3BP2,SP110,STAT1,STAT2,TAP2,TLR2,TMEM158,TNFRSF14,TRIM21,TRIM22,UBE2L6,USP18,XAF1",NA
CSF1,cytokine,8.429999999999999e-41,9.18e-39,"ACP5,APOL6,BST2,CCL2,CCL5,CD74,CPM,CXCL10,CXCL11,CXCL9,DDX60,GBP1,HLA-A,IDO1,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IRF1,IRF7,ISG15,LAP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,OGFR,RIGI,RSAD2,SAMD9,SAMHD1,SP110,STAT1,STAT2,TLR2,TRIM21,TRIM22,UBE2L6,USP18,XAF1",NA
OSM,cytokine,1.4999999999999998e-24,8.7e-23,"ACSL5,ATF3,ATP9A,BBOX1,C1R,C1S,CASP4,CCL2,CCL5,CFB,CLEC2B,CPM,CXCL10,CYP1B1,GBP1,GBP2,HLA-A,HLA-C,HLA-F,HSD11B1,IFI35,IL15,IL15RA,IL32,IRF1,IRF7,ISG20,MX1,OAS1,PSMB8,SBNO2,SERPING1,STAT1,TAP1,TAP2,TLR2,TLR3,TRIM22,UBE2L6,ZC3HAV1",NA
IFNE,cytokine,5.689999999999999e-23,2.9900000000000004e-21,"APOBEC3G,BST2,CD40,CXCL10,CXCL11,CXCL9,HSD11B1,IFIH1,IFIT2,ISG15,ISG20,MX2,PLAAT4,STAT1,TLR3,USP18",NA
CD40LG,cytokine,8.59e-20,3.6e-18,"APOBEC3G,ATF3,CASP1,CCL2,CCL5,CD40,CIITA,CLU,CXCL10,CYP1B1,HLA-DRB4,IDO1,IFI44,IFIT2,IFIT3,IFITM1,IL15,IRF1,ISG15,JAK2,LAMP3,MARCKSL1,MX1,PML,PSMB10,PSMB8,STAT1,TAP1,TAP2,UBD",NA
IFNL4,cytokine,3.29e-19,1.33e-17,"CXCL10,CXCL11,IFIH1,ISG15,MX1,OAS1,OAS2,OASL,RIGI,STAT1",NA
IL10,cytokine,1.89e-18,7.02e-17,"ACP2,CCL2,CCL5,CD40,CD74,CEACAM1,CIITA,CTSS,CXCL10,CXCL11,CXCL9,HLA-DMA,HLA-G,IDO1,IFI30,IFIT2,IL12RB2,IRF1,LAMP3,LGMN,LY75,LY96,MAN1A1,PDCD1LG2,RARRES1,STAT1,TAP1,TAP2,TLR2,TLR3,TMEM158",NA
IFNK,cytokine,1.15e-17,4.03e-16,"CD40,CXCL10,CXCL11,CXCL9,IFIH1,IRF1,MX1,OAS1,PLAAT4,STAT1,TLR3",NA
IL17A,cytokine,4.33e-17,1.47e-15,"ACP5,ACSL5,BBOX1,CCL2,CCL5,CCL7,CCL8,CD40,CFB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,FAP,HSD11B1,IDO1,IL12RB2,IL15,IL22RA1,IL32,IRF1,ISG15,SCNN1A,SPSB1,STAT1,STEAP4,TLR2,TLR3,TNFRSF14",NA
EBI3,cytokine,9.01e-17,2.96e-15,"CIITA,GBP2,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DRA,IL12RB2,IRF1,MX1,STAT1,STAT2,TAP1",NA
IL6,cytokine,1.02e-16,3.27e-15,"ACP5,AIM2,ATF3,BST2,CASP7,CCL2,CCL5,CCL7,CD40,CD74,CEACAM1,CFH,CIITA,CLU,CXCL10,CXCL9,CYP1B1,HLA-A,HLA-DMA,IDO1,IFIT2,IL15,IRF1,JAK2,LY96,PDCD1LG2,PSMB10,PSMB8,RAB27A,SBNO2,SCNN1A,SPSB1,STAT1,STEAP4,TAP1,TLR2,TLR3,WARS1",NA
IFNA4,cytokine,1.12e-14,3.140000000000001e-13,"BST2,CCL8,CXCL10,CXCL11,CXCL9,IFIH1,IFIT2,ISG15,MX1,PLAAT4,RSAD2,USP18",NA
IFNA14,cytokine,5.38e-14,1.42e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA10,cytokine,5.38e-14,1.42e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA21,cytokine,5.38e-14,1.42e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA5,cytokine,5.38e-14,1.42e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA7,cytokine,5.38e-14,1.42e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA6,cytokine,5.38e-14,1.42e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA8,cytokine,1.14e-13,2.91e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IFNA16,cytokine,1.14e-13,2.91e-12,"CCL8,CXCL10,CXCL11,CXCL9,IFIH1,ISG15,MX1,PLAAT4",NA
IL1A,cytokine,5.3e-13,1.24e-11,"ACP5,ATF3,BTN3A3,CCL2,CCL5,CCL8,CD40,CXCL10,GBP1,HLA-A,HLA-DRB4,HSD11B1,IL22RA1,IL32,IRF1,IRF7,MX2,PDCD1LG2,SERPING1,TAP1,TLR2",NA
IL15,cytokine,1.35e-12,3.03e-11,"BPGM,BST2,CCL2,CCL5,CD40,CD74,CEACAM1,CXCL10,GLDC,HLA-DRA,IFI35,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,ISG15,MX1,PSMB10,PSMB8,SP100,STAT1,TLR2,UBE2L6",NA
