regulator,p_adj,n_overlap,overlap_genes
IFNA8,5.908386756548053e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
CCL4,7.67880903321643e-5,6,"CMPK2,IFI44L,IFIT1,IFIT3,MX2,RGCC"
CCL20,7.991246943585956e-5,6,"HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
TNFSF13B,9.206113844691247e-5,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA1,2.1805665573202776e-4,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNB1,2.621527513574808e-4,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
CCL4L2,2.935991219026987e-4,4,"IFI44L,IFIT1,IFIT3,MX2"
CXCL10,2.9660500708434876e-4,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
CCL5,4.3434256755800504e-4,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
CXCL2,5.597547850233936e-4,5,"IFI44L,IFIT1,IFIT3,MX2,RGCC"
IL32,9.394710408732984e-4,4,"IFI44L,IFIT1,IFIT3,MX2"
CCL7,0.00117824011673295,4,"IFI44L,IFIT1,IFIT3,MX2"
IFNA6,0.00125469410980253,4,"IFI44L,IFIT1,IFIT3,MX2"
CXCL3,0.00125645296673165,4,"IFI44L,IFIT1,IFIT3,MX2"
IFNA14,0.00129499842891089,4,"IFI44L,IFIT1,IFIT3,MX2"
IFNA13,0.00132101634051537,4,"IFI44L,IFIT1,IFIT3,MX2"
IL1A,0.00139372271981885,6,"HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
CXCL8,0.00182732822742919,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IL1B,0.00183409924676154,7,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
IFNA17,0.00194244892516111,4,"IFI44L,IFIT1,IFIT3,MX2"
XCL1,0.00209792077766671,4,"IFI44L,IFIT1,IFIT3,MX2"
CXCL16,0.00242800859387171,4,"HERC5,IFIT1,IFIT3,MX2"
CCL2,0.00244323354334092,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IL6,0.00284488956503411,7,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
IL18,0.00408786862495002,5,"CMPK2,IFI44L,IFIT1,IFIT3,MX2"
TNF,0.00529487376272338,7,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
CXCL13,0.00598146830620445,4,"IFI44L,IFIT1,IFIT3,MX2"
IL36G,0.00725952821240866,3,"IFIT1,IFIT3,MX2"
IFNG,0.00819097574970593,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
CX3CL1,0.00908539284086781,4,"IFI44L,IFIT1,IFIT3,MX2"
CXCL6,0.01578580037399196,3,"IFIT1,IFIT3,MX2"
IL15,0.01825501342623004,4,"IFI44L,IFIT1,IFIT3,MX2"
TNFSF15,0.01986624943315875,3,"IFIT1,IFIT3,MX2"
CCL3,0.01990638707568665,4,"IFI44L,IFIT1,IFIT3,MX2"
CXCL1,0.02270287061578807,4,"IFI44L,IFIT1,IFIT3,MX2"
IFNW1,0.02352062262377213,2,"IFIT1,IFIT3"
CSF1,0.02394494798182857,4,"IFIT1,IFIT3,MX2,RGCC"
IL10,0.02635342255674019,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IL2,0.02974057327132076,5,"CMPK2,IFI44L,IFIT1,IFIT3,MX2"
CCL17,0.03084146065836449,3,"IFIT1,IFIT3,MX2"
CCL22,0.03449092964160263,3,"IFIT1,IFIT3,MX2"
CSF2,0.03449092964160263,4,"IFI44L,IFIT1,IFIT3,MX2"
IL16,0.03593849319936396,3,"IFIT1,IFIT3,MX2"
IL17A,0.04068465065313018,4,"IFI44L,IFIT1,IFIT3,MX2"
CXCL5,0.04469891858526619,3,"IFIT1,IFIT3,MX2"
CCL21,0.04893717650297072,3,"IFIT1,IFIT3,MX2"
