regulator,p_adj,n_overlap,overlap_genes
CCL5,2.7391704116384533e-59,116,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,APOL1,ARHGAP25,ATF3,BLNK,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CASP1,CASP4,CASP7,CCL2,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CLU,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,EDNRA,ERAP1,FAP,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LGMN,LY75,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMHD1,SERPINB9,SERPING1,SLC15A3,SLC2A3,SP100,SP110,STAT1,STAT2,STEAP4,TAP1,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
IFNG,3.134665883889158e-57,144,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,APOL2,APOL6,ATF3,BBOX1,BLNK,BST2,BTN2A2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CAPN3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,EDNRA,ERAP1,ERAP2,ETV7,FAP,GABARAPL1,GABBR1,GBP1,GBP2,GOLM1,GSDMB,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HSD11B1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,ITPKC,JAK2,KLF4,LAMP3,LAP3,LGMN,LMO2,LY75,LY96,MR1,MX1,MX2,NMI,NRG1,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PDLIM4,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC2A3,SLC44A4,SP100,SP110,STAT1,STAT2,TAP1,TAP2,TAPBPL,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
IL1RN,1.1392899211438016e-56,94,"ACE2,ACP5,AIM2,APOBEC3A,ATF3,BST2,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,ERAP1,GBP1,GBP2,GSDMD,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,HSD11B1,HSD17B2,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PSMB8,RIPK2,RSAD2,SECTM1,SERPINB9,SERPING1,SH3BP2,SLC15A3,STAT1,STAT2,TAP1,TAP2,TLR2,TLR3,TNFRSF14,TRIM21,USP18,XAF1"
IFNB1,2.7979445744925557e-55,108,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,ATF3,BBOX1,BST2,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,GABARAPL1,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SERPINB9,SERPING1,SLFN12,SP100,STAT1,STAT2,TAP1,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
IL18,1.2976532313609857e-54,109,"ACE2,ACP5,AIM2,APOBEC3G,APOL1,ATF3,BBOX1,BLNK,BST2,BTN2A2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,EDNRA,ERAP1,FAP,GABARAPL1,GBP1,GBP2,GSDMB,GSDMD,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,ITPKC,JAK2,KLF4,LAMP3,LGMN,LY75,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PDLIM4,PSMB8,RAB27A,RIPK2,RSAD2,SAMHD1,SERPINB9,SERPING1,SLC15A3,SP100,STAT1,STAT2,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,USP18"
CCL4,1.3731827601772726e-54,98,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,ARHGAP25,ATF3,BLNK,BST2,BTN3A1,C1R,C1S,CASP1,CASP4,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,GBP1,GBP2,GSDMD,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LGMN,LY75,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PSMB10,PSMB8,RIPK2,RSAD2,RTP4,SAMHD1,SERPINB9,SERPING1,SLC15A3,STAT1,STAT2,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,USP18,XAF1"
IFNA2,3.611743416728729e-52,80,"ACE2,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,BST2,C1S,CASP1,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CFH,CIITA,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,HLA-G,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PSMB8,RSAD2,RTP4,SAMHD1,SERPING1,SP100,STAT1,STAT2,TLR2,TLR3,TRIM21,TRIM22,UBA7,UBE2L6,USP18,XAF1,ZC3HAV1"
CCL3,1.7516133559535452e-51,99,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,ATF3,BLNK,BST2,C1R,C1S,CASP1,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,ERAP1,GBP1,GBP2,GSDMD,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LGMN,LMO2,LY75,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMHD1,SERPINB9,SERPING1,SLC15A3,STAT1,STAT2,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,UBA7,USP18,XAF1"
IL1B,4.257034699042495e-49,144,"ACE2,ACP5,ACSL5,AIM2,APOBEC3A,APOBEC3G,APOL1,ATF3,BBOX1,BLNK,BST2,BTN2A2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CAPN3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CFHR1,CIITA,CLEC2B,CLU,CPM,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,DPYD,EDNRA,ERAP1,ERAP2,FAP,GABARAPL1,GABBR1,GBP1,GBP2,GSDMB,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HSD11B1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,ITPKC,JAK2,KLF4,LAMP3,LGMN,LMO2,LY75,LY96,MX1,MX2,NRG1,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PDLIM4,PLOD2,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SBNO2,SCNN1A,SERPINB9,SERPING1,SH3BP2,SLC15A3,SLC27A3,SLC2A3,SLC44A4,SP100,SP110,STAT1,STAT2,STEAP4,TAP1,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,VSNL1,XAF1,ZC3HAV1"
CXCL13,3.073145217115707e-48,83,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,ATF3,BLNK,BST2,C1R,C1S,CASP1,CASP7,CBR3,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CIITA,CLU,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,FAP,GBP1,GBP2,HLA-A,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-G,HSD17B2,IDO1,IFI27,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,LAMP3,LY75,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PSMB8,RSAD2,RTP4,SERPING1,STAT1,STAT2,TLR2,TLR3,TNFRSF14,TRIM21,UBD,USP18"
