regulator,p_adj,n_overlap,overlap_genes
CCL5,1.0699025935812287e-21,34,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GPX2,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,TIMP1,TRIM21,UBE2L6,USP18"
IFNA16,1.3555158708561843e-21,24,"BST2,GAST,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
IL1RN,1.4146488090787715e-21,29,"BST2,CARD16,CFB,CMPK2,DDX60,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
IFNA7,1.9691877439498024e-21,24,"BST2,GAST,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
CCL8,4.870413607327905e-21,25,"BST2,CFB,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,SLC40A1,TIMP1,TRIM21,USP18"
CXCL9,2.010527699123302e-20,29,"BST2,CFB,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,TIMP1,TRIM21,UBE2L6,USP18"
IFNA10,4.578176090650157e-20,23,"BST2,GAST,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,USP18"
IFNA17,8.030777451034779e-20,24,"BST2,DDX60,GAST,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
IFNA4,1.2172466647494118e-19,23,"BST2,GAST,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,USP18"
IFNA14,1.2927933889560848e-19,23,"BST2,GAST,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
CCL2,2.1824041612862103e-19,36,"ADAMTS1,BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
CCL4,2.1343479381523944e-18,28,"BST2,CFB,CMPK2,DKK1,GPX2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RSAD2,S100A4,TIMP1,TRIM21,USP18"
IFNA6,2.437527470532418e-18,22,"BST2,GAST,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,USP18"
IFNA13,3.504810116987083e-18,22,"BST2,GAST,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TIMP1,TRIM21,USP18"
IL1A,1.9641633418839334e-17,33,"ADAMTS1,BST2,CARD16,CFB,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PSG5,RGCC,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,USP18"
IL1B,6.240119132177664e-17,39,"ADAMTS1,BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PSG5,PYGB,RGCC,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
IL6,7.179372103206699e-17,40,"ADAMTS1,BST2,CARD16,CFB,CMPK2,DDX60,DKK1,EVA1A,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PSG5,PYGB,RGCC,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
CXCL8,1.0161402511548764e-16,33,"ADAMTS1,BST2,CFB,CMPK2,DDX60,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,TIMP1,TRIM21,USP18"
CCL3,4.4233073679966437e-16,27,"ADAMTS1,BST2,CARD16,CFB,DKK1,GPX2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
CXCL2,8.207997469256573e-16,24,"ADAMTS1,BST2,CFB,GPX2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RGCC,RSAD2,S100A4,TIMP1"
IFNG,1.000682019247745e-15,36,"ADAMTS1,BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
CXCL16,2.556001202090992e-15,21,"ADAMTS1,CFB,DKK1,HERC5,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1"
IL15,2.7899672416377292e-15,26,"BST2,CARD16,CFB,DDX60,DKK1,GPX2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
IL32,4.449372283159143e-15,19,"CFB,DKK1,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,S100A4,TIMP1"
IL10,5.853824267579125e-15,33,"ADAMTS1,BST2,CARD16,CFB,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,USP18"
CCL20,8.550647100063384e-15,25,"BST2,CFB,DKK1,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RGCC,RSAD2,S100A4,TIMP1,USP18"
SECTM1,2.9451990370964294e-14,14,"BST2,CARD16,CFB,IFI6,IFIT1,IFITM1,IFITM2,IRF7,ISG15,OAS1,OAS3,OASL,RSAD2,S100A4"
TNF,5.226813094112225e-14,39,"ADAMTS1,BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PSG5,PYGB,RGCC,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
IL17A,1.8634031104943206e-13,27,"BST2,BTBD16,CFB,DKK1,GAST,GPX2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
CXCL3,3.2816057806029323e-13,18,"BST2,CFB,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1"
IL18,3.317416784909032e-13,26,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GPX2,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
CXCL6,2.153872893564547e-12,17,"BST2,CFB,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,S100A4,TIMP1,TRIM69"
CCL4L2,2.728045664175678e-12,15,"CFB,IFI44L,IFI6,IFIT1,IFIT3,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OASL,RSAD2,S100A4,TIMP1"
CCL19,4.090029318093687e-12,20,"BST2,CFB,CMPK2,DDX60,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PLAC8,RSAD2,TIMP1,TRIM21"
CXCL13,8.11862992408529e-12,20,"BST2,CFB,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
IL2,1.3049280944796954e-11,30,"BST2,CFB,CMPK2,DKK1,GAST,GPX2,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PNPT1,PYGB,RSAD2,S100A4,TIMP1,TRIM21,UBE2L6,USP18"
IL4,1.3054376292213659e-11,27,"BST2,CFB,DKK1,GAST,GPX2,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,USP18"
CXCL1,1.9875901908077037e-11,23,"ADAMTS1,BST2,CFB,DKK1,GPX2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1"
CXCL5,2.5794981950879494e-11,19,"ADAMTS1,BST2,CFB,DKK1,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1"
CSF1,2.9657901550426343e-11,23,"ADAMTS1,BST2,CARD16,CFB,DKK1,IFI35,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RGCC,RSAD2,S100A4,SLC40A1,TIMP1,USP18"
CSF2,4.528933166205168e-11,24,"BST2,CFB,DKK1,GPX2,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
CCL7,5.3858276175651146e-11,16,"IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1"
CX3CL1,7.091159686494015e-10,19,"ADAMTS1,CFB,DKK1,GPX2,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1"
IFNW1,1.2201182927357803e-9,10,"BST2,IFI35,IFIT1,IFIT3,IFNK,IRF7,ISG15,MX1,RSAD2,TRIM21"
IL36G,2.2793251893620112e-8,12,"IFI6,IFIT1,IFIT3,IFITM1,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2"
IL22,2.3158739318673265e-8,17,"DKK1,GPX2,IFI6,IFIT1,IFIT3,IFNK,IRF7,ISG15,MX1,OAS1,OASL,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,USP18"
CCL22,4.743937607773839e-8,15,"BST2,IFI35,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,S100A4,TIMP1"
CCL18,8.925209315369225e-8,14,"CFB,IFI6,IFIT1,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OASL,RSAD2,S100A4,TIMP1"
TGFB1,2.570522930917067e-7,26,"ADAMTS1,BST2,CARD16,CFB,DKK1,GAST,GPX2,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,MX1,MX2,OAS1,OAS2,OAS3,OASL,PSG5,PSG9,RGCC,S100A4,TIMP1,TRIM21"
FASLG,3.369578346169084e-7,20,"BST2,CFB,DKK1,GPX2,IFI35,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,OAS1,OAS2,OASL,RSAD2,S100A4,TIMP1,TRIM21,USP18"
IL7,6.353020337270371e-7,16,"BST2,DKK1,GPX2,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,MX1,OAS1,OAS2,RSAD2,S100A4,TIMP1,TRIM21"
XCL1,6.353020337270371e-7,13,"IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OASL,RSAD2,S100A4,TIMP1"
CSF3,6.5538604990967e-7,18,"CFB,DKK1,GPX2,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,OAS1,OAS2,OAS3,OASL,RSAD2,S100A4,TIMP1,USP18"
IL13,6.710099763424045e-7,18,"BST2,DKK1,GAST,GPX2,IFI44L,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,OAS1,OAS2,RSAD2,S100A4,TIMP1,TRIM21"
CXCL12,8.757737584944083e-7,21,"ADAMTS1,BST2,CFB,DKK1,GAST,GPX2,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OASL,RSAD2,S100A4,TIMP1"
CD40LG,9.274435512924768e-7,17,"BST2,BTBD16,DKK1,GPX2,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,OAS1,OAS2,OASL,RSAD2,TIMP1,TRIM21"
NAMPT,2.060875763583065e-6,17,"CMPK2,DDX60,GPX2,HELZ2,IFI6,IFIT1,IFIT3,IFITM2,IRF7,LY6E,MX1,PARP9,PNPT1,RSAD2,TIMP1,UBE2L6,USP18"
CCL21,2.8361265824955235e-6,14,"BST2,DKK1,IFI6,IFIT1,IFIT3,IRF7,ISG15,MX1,MX2,OAS1,RSAD2,S100A4,TIMP1,TRIM21"
IL16,4.020603823477731e-6,13,"IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,TIMP1"
PPBP,6.88923254552208e-6,13,"BST2,CARD16,CFB,IFIT3,IRF7,ISG15,MX1,OAS1,OAS2,OASL,RSAD2,S100A4,TIMP1"
CCL17,1.3882105901195093e-5,12,"BTBD16,IFI35,IFIT1,IFIT3,IRF7,ISG15,MX1,MX2,OASL,RSAD2,S100A4,TIMP1"
