regulator,p_adj,n_overlap,overlap_genes
CCL4,0,763,"ABCF1,ABI3,ACE2,ACKR2,ACOD1,ACTB,ADAM8,ADAMDEC1,ADAMTS4,ADAP2,ADGRE1,ADM,ADORA2A,ADORA3,AGER,AIF1,AIM2,ALOX15,ALOX5,ALOX5AP,ANPEP,ANXA1,AOAH,APOBEC3A,APOBEC3G,APOBR,AREG,ARHGAP25,ARHGAP30,ARHGAP9,ARRB2,ATF3,B2M,BATF,BATF3,BCL10,BCL2A1,BCL2L11,BCL3,BHLHE40,BIRC3,BST2,BTK,BTLA,BTN2A1,BTN3A1,C1orf162,C1QA,C1QB,C1QC,C1R,C3,C3AR1,C4A,C4B,C5AR1,CALR,CARD11,CARD9,CASP1,CASP3,CASP4,CASP5,CASP8,CCL1,CCL11,CCL13,CCL17,CCL18,CCL19,CCL2,CCL20,CCL22,CCL25,CCL26,CCL3,CCL4L2,CCL5,CCL7,CCL8,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCRL2,CD14,CD163,CD180,CD19,CD1B,CD1C,CD1D,CD2,CD200,CD209,CD226,CD244,CD247,CD27,CD274,CD28,CD300A,CD300C,CD300E,CD300LB,CD300LF,CD33,CD37,CD38,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD47,CD48,CD5,CD52,CD53,CD6,CD63,CD68,CD69,CD7,CD72,CD74,CD79A,CD79B,CD80,CD83,CD84,CD86,CD8A,CD8B,CD93,CD96,CDKN1A,CDKN2A,CEACAM1,CEACAM3,CEBPE,CFB,CFLAR,CFP,CGAS,CH25H,CHI3L1,CIITA,CISH,CLEC10A,CLEC12A,CLEC1B,CLEC2D,CLEC4A,CLEC4C,CLEC4D,CLEC4E,CLEC5A,CLEC6A,CLEC7A,CLEC9A,CLU,CMKLR1,CMPK2,CNR2,CORO1A,CR1,CREM,CRLF2,CRP,CRTAM,CSF1,CSF1R,CSF2,CSF2RA,CSF2RB,CSF3,CSF3R,CST7,CTLA4,CTRL,CTSB,CTSC,CTSH,CTSL,CTSS,CTSW,CTSZ,CX3CL1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL16,CXCL17,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYBA,CYBB,CYLD,CYSLTR2,CYTH4,CYTIP,DEFB103A,DEFB4A,DEFB4B,DHX58,DNTT,DOK2,DUSP5,EBI3,EIF2AK2,ENG,EOMES,EPSTI1,FAS,FASLG,FCAR,FCER1G,FCER2,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FCN1,FCRL3,FCRL6,FFAR2,FFAR3,FGL2,FGR,FLT1,FLT3,FLT3LG,FOLR3,FOSL1,FOXP3,FPR1,FPR2,FPR3,FTH1,FUT4,FYB1,G0S2,GADD45B,GAPDH,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GIMAP4,GIMAP5,GIMAP6,GIMAP7,GIMAP8,GMFG,GNA15,GNLY,GPR15,GPR171,GPR18,GPR183,GPR65,GPR84,GPSM3,GRB2,GSDMD,GYPC,GZMA,GZMB,GZMH,GZMK,GZMM,HAVCR2,HBEGF,HCAR2,HCAR3,HCK,HCLS1,HCST,HEATR9,HIF1A,HK3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HP,HPRT1,HSP90AA1,HSPA5,HSPA6,HTRA3,HVCN1,ICAM1,ICAM2,ICAM3,ICOS,IDO1,IDO2,IER3,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR2,IFNB1,IFNG,IFNGR2,IFNK,IFNL1,IFNL2,IGSF6,IKBKE,IKZF1,IKZF3,IL10,IL10RA,IL10RB,IL12A,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL15,IL15RA,IL17A,IL17C,IL17F,IL17RA,IL18BP,IL18R1,IL18RAP,IL1B,IL1RL1,IL1RN,IL2,IL21,IL21R,IL22,IL23A,IL24,IL25,IL26,IL27,IL27RA,IL2RA,IL2RB,IL2RG,IL3,IL32,IL36A,IL3RA,IL4,IL4I1,IL4R,IL5,IL6,IL6R,IL7R,IL9,INHBA,INPP5D,IRAK2,IRF1,IRF2,IRF4,IRF5,IRF7,IRF8,IRF9,ISG15,ISG20,ITGA4,ITGA5,ITGAL,ITGAM,ITGAX,ITGB2,ITGB3,ITGB7,ITK,JAK2,JAK3,JAML,JCHAIN,JUNB,KIR2DL1,KIR2DL3,KIR2DL4,KIR3DL1,KIR3DL2,KLF6,KLRB1,KLRC1,KLRC2,KLRC3,KLRC4,KLRD1,KLRF1,KLRG1,KLRK1,KYNU,LAG3,LAIR1,LAIR2,LAMP3,LAPTM5,LBP,LCK,LCN2,LCP1,LCP2,LEF1,LGALS9,LGALS9B,LGALS9C,LGMN,LIF,LILRA1,LILRA2,LILRA4,LILRA6,LILRB1,LILRB2,LILRB3,LILRB4,LILRB5,LITAF,LRRC25,LRRK2,LSP1,LST1,LTA,LTB,LTF,LY75,LY75-CD302,LY86,LY9,LY96,LYN,LYZ,MAP3K14,MAPK11,MAPKAPK2,MCL1,MEFV,MET,MICB,MLKL,MME,MMP1,MMP12,MMP13,MMP25,MMP3,MMP9,MNDA,MPEG1,MPO,MPZL2,MRC1,MS4A1,MS4A14,MS4A6A,MS4A7,MSR1,MT1E,MT2A,MUC1,MX1,MX2,MYD88,MYO1F,NAMPT,NCF1,NCF2,NCF4,NCKAP1L,NCR1,NCR3,NECTIN2,NES,NFIL3,NFKB1,NFKB2,NFKBIA,NFKBIB,NFKBID,NFKBIE,NKG7,NLRC3,NLRC4,NLRC5,NLRP3,NOD1,NOD2,NOS2,NR4A3,NT5E,NTRK1,OAS1,OAS2,OAS3,OASL,OLR1,ORM1,OSCAR,OSM,OSMR,P2RY10,P2RY12,P2RY13,PARP9,PARVG,PAX5,PDCD1,PDCD1LG2,PDE4B,PDPN,PGF,PI3,PIGR,PIK3AP1,PIK3CD,PIK3CG,PIK3R5,PLA2G7,PLAU,PLAUR,PLEK,PMAIP1,POTEF,PRF1,PRKCB,PRKCD,PRL,PROK2,PSMA6,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTAFR,PTGER2,PTGER4,PTGES,PTGS2,PTPN22,PTPN6,PTPRC,PTPRE,PTX3,RAC2,RASAL3,RELB,RETN,RGS1,RGS18,RIPK2,RIPK3,RNASE2,RNASE6,RSAD2,RTP4,RUNX1,RUNX2,RUNX3,S100A12,S100A7,S100A8,S100A9,S1PR1,S1PR4,SAA1,SAA2,SAMD9L,SAMHD1,SAMSN1,SASH3,SELE,SELL,SELP,SELPLG,SERPINA1,SERPINA3,SERPINB9,SERPINE1,SERPING1,SH2D1A,SH2D1B,SH2D3C,SIGLEC1,SIGLEC10,SIGLEC14,SIGLEC5,SIGLEC7,SIGLEC9,SIRPA,SIRPB1,SIRPB2,SIRPD,SIRPG,SLA,SLAMF1,SLAMF6,SLAMF7,SLAMF8,SLC15A3,SLC2A5,SLC7A7,SMAD7,SNAI1,SOCS1,SOCS2,SOCS3,SOD2,SPHK1,SPI1,SPIB,SPN,SPP1,SRC,SRGN,STAT1,STAT2,STAT3,STAT4,STAT5A,STING1,STX11,SYK,TAGAP,TAPBP,TBX21,TCF7,TCL1A,TCL1B,TFEC,TFRC,TGFB1,TGM2,THBS1,THEMIS2,THY1,TICAM1,TIGIT,TIMD4,TIMP1,TLR1,TLR10,TLR2,TLR3,TLR4,TLR6,TLR7,TLR8,TLR9,TMEM176A,TMEM176B,TNF,TNFAIP2,TNFAIP3,TNFAIP6,TNFAIP8,TNFAIP8L2,TNFRSF10A,TNFRSF10B,TNFRSF11B,TNFRSF12A,TNFRSF13B,TNFRSF14,TNFRSF1B,TNFRSF4,TNFRSF6B,TNFRSF8,TNFRSF9,TNFSF10,TNFSF11,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF8,TNIP1,TNIP3,TRADD,TRAF1,TRAF3,TRAT1,TREM1,TREML4,TRIM17,TRIM21,TRIM22,TRIM5,TYMP,TYROBP,ULBP2,USP18,VAV1,VCAM1,VEGFC,VNN2,VSIR,WAS,WDFY4,XAF1,XCL1,XCL2,XDH,ZAP70,ZC3H12A,ZFP36,ZNF683"
CCL5,0,900,"ACE2,ACHE,ACKR2,ACOD1,ACTB,ADAM8,ADAMDEC1,ADAMTS4,ADAR,ADCY7,ADGRE1,ADGRE2,ADGRE5,ADM,ADORA2A,ADORA3,ADRB3,AGER,AIF1,AIM2,AKR1B10,AKT3,ALOX15,ALOX5,ALOX5AP,ANGPTL4,ANK1,ANPEP,ANXA1,AOAH,APOBEC3A,APOBEC3G,APOL1,AREG,ARHGAP15,ARHGAP25,ARHGAP30,ARHGAP9,ARRB2,ATF3,B2M,BATF,BATF2,BATF3,BAX,BCL10,BCL2A1,BCL2L11,BCL3,BHLHE40,BIN2,BIRC3,BLK,BRCA2,BST2,BTK,BTLA,BTN3A1,BTN3A2,BTN3A3,C1orf162,C1QA,C1QB,C1QC,C1R,C2,C3,C3AR1,C4A,C4B,C4BPA,C5AR1,CA9,CALHM6,CALR,CARD11,CARD16,CARD9,CASP1,CASP3,CASP4,CASP5,CASP7,CASP8,CCL1,CCL11,CCL13,CCL17,CCL18,CCL19,CCL2,CCL20,CCL22,CCL25,CCL26,CCL3,CCL4,CCL4L2,CCL7,CCL8,CCN1,CCND2,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCRL2,CD14,CD163,CD180,CD19,CD1B,CD1C,CD1D,CD2,CD200,CD209,CD226,CD244,CD247,CD27,CD274,CD28,CD300A,CD300C,CD300E,CD300LF,CD33,CD37,CD38,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD47,CD48,CD5,CD52,CD53,CD6,CD63,CD68,CD69,CD7,CD72,CD74,CD79A,CD79B,CD80,CD83,CD84,CD86,CD8A,CD8B,CD93,CD96,CDKN1A,CDKN2A,CEACAM1,CFB,CFL1,CFLAR,CFP,CGAS,CH25H,CHI3L1,CIITA,CISH,CLEC10A,CLEC12A,CLEC1B,CLEC2D,CLEC4A,CLEC4C,CLEC4D,CLEC4E,CLEC4G,CLEC5A,CLEC6A,CLEC7A,CLEC9A,CLU,CMKLR1,CMPK2,CNR2,COL4A1,CORO1A,CR1,CRLF2,CRP,CRTAM,CSF1,CSF1R,CSF2,CSF2RA,CSF2RB,CSF3,CSF3R,CST7,CTLA4,CTRL,CTSB,CTSC,CTSH,CTSL,CTSS,CTSW,CTSZ,CX3CL1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL16,CXCL17,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYBA,CYBB,CYLD,CYP19A1,CYP27B1,CYSLTR2,CYTH4,CYTIP,DAXX,DDIT4,DDX60,DDX60L,DEFB103A,DEFB4A,DEFB4B,DHX58,DNTT,DOCK2,DOCK8,DOK2,DUSP5,EDN2,EIF2AK2,ELF4,ELMO1,ENG,ENO1,ENPP2,EOMES,EPSTI1,ERAP1,ETS1,EVI2B,FAS,FASLG,FCAR,FCER1G,FCER2,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FCN1,FCRL1,FCRL3,FCRL6,FERMT3,FFAR2,FFAR3,FGL2,FGR,FLT1,FLT3,FLT3LG,FOLR3,FOSL1,FOXP3,FPR1,FPR2,FPR3,FTH1,FUT4,FUT7,FYB1,GADD45B,GAPDH,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GFI1,GIMAP1,GIMAP1-GIMAP5,GIMAP2,GIMAP4,GIMAP5,GIMAP6,GIMAP7,GIMAP8,GLIPR2,GLUL,GMFG,GNA15,GNLY,GPBAR1,GPR132,GPR15,GPR171,GPR18,GPR183,GPR55,GPR65,GPR84,GPSM3,GRB2,GSDMD,GYPC,GZMA,GZMB,GZMH,GZMK,GZMM,H2AC18,HAS2,HAVCR2,HBEGF,HCAR2,HCK,HCLS1,HCST,HEATR9,HELZ2,HEPHL1,HERC5,HERC6,HIF1A,HK3,HKDC1,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HP,HPRT1,HRH2,HSH2D,HSP90AA1,HSP90B1,HSPA5,HSPA8,ICAM1,ICAM2,ICAM3,ICAM4,ICOS,IDO1,IDO2,IER3,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT1B,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR2,IFNB1,IFNG,IFNGR2,IFNK,IFNL1,IFNL2,IGSF6,IKBKE,IKZF1,IKZF3,IL10,IL10RA,IL10RB,IL12A,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL15,IL15RA,IL17A,IL17C,IL17F,IL17RA,IL18BP,IL18R1,IL18RAP,IL1B,IL1RL1,IL1RN,IL2,IL21,IL21R,IL22,IL23A,IL24,IL25,IL26,IL27,IL27RA,IL2RA,IL2RB,IL2RG,IL3,IL32,IL36A,IL3RA,IL4,IL4I1,IL4R,IL5,IL6,IL6R,IL7R,IL9,INHBA,INPP5D,IRAK2,IRF1,IRF2,IRF4,IRF5,IRF7,IRF8,IRF9,ISG15,ISG20,ITGA4,ITGA5,ITGAL,ITGAM,ITGAX,ITGB2,ITGB3,ITGB7,ITK,JAK2,JAK3,JAML,JCHAIN,JUNB,KIR2DL1,KIR2DL3,KIR2DL4,KIR3DL1,KIR3DL2,KLF6,KLRB1,KLRC1,KLRC2,KLRC3,KLRD1,KLRF1,KLRG1,KLRK1,KYNU,LAG3,LAIR1,LAMP3,LAPTM5,LAT,LBP,LCK,LCN2,LCP1,LCP2,LDHA,LEF1,LGALS3BP,LGALS9,LGALS9B,LGALS9C,LGMN,LIF,LIFR,LILRA1,LILRA2,LILRA4,LILRA6,LILRB1,LILRB2,LILRB3,LILRB4,LITAF,LMNB1,LRRK2,LSP1,LST1,LTA,LTB,LTF,LY6E,LY75,LY75-CD302,LY86,LY9,LY96,LYN,LYZ,MAP3K14,MAP4K1,MAPK11,MAPKAPK2,MATK,MCL1,MCOLN2,MEFV,MET,MICB,MILR1,MLKL,MME,MMP1,MMP12,MMP13,MMP25,MMP3,MMP9,MNDA,MPEG1,MPO,MRC1,MS4A1,MS4A6A,MS4A7,MSR1,MT1E,MT2A,MUC1,MUC16,MUC4,MX1,MX2,MYD88,MYO1F,MZB1,NAAA,NAMPT,NCF1,NCF2,NCF4,NCKAP1L,NCR1,NCR3,NECTIN2,NES,NFIL3,NFKB1,NFKB2,NFKBIA,NFKBIB,NFKBID,NFKBIE,NKG7,NLRC3,NLRC4,NLRC5,NLRP3,NLRP6,NLRP7,NOD1,NOD2,NOS2,NT5E,NTRK1,OAS1,OAS2,OAS3,OASL,OLR1,OPTN,ORM1,OSCAR,OSM,OSMR,P2RX4,P2RY10,P2RY12,P2RY13,P2RY6,PANX1,PARP1,PARP14,PARP15,PARP9,PAX5,PCP4L1,PDCD1,PDCD1LG2,PDE4B,PDPN,PFN1,PGF,PGK1,PHF11,PI3,PIGR,PIK3CD,PIK3CG,PIK3R5,PKM,PLA2G2A,PLA2G7,PLAAT4,PLAU,PLAUR,PLEK,PLEKHF1,PLSCR1,PMAIP1,POTEF,PRF1,PRKCB,PRKCD,PRKCQ,PRL,PROCR,PROK2,PSMA6,PSMA7,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PSTPIP1,PTAFR,PTGER2,PTGER4,PTGES,PTGIR,PTGS2,PTPN1,PTPN2,PTPN22,PTPN6,PTPN7,PTPRC,PTPRCAP,PTPRE,PTX3,PVRIG,PYHIN1,RAB27A,RAC2,RASAL3,RASGRP1,RELB,RETN,RGS1,RGS18,RHOH,RIPK2,RIPK3,RNASE2,RPS6KA1,RSAD2,RTP4,RUNX1,RUNX2,RUNX3,S100A10,S100A11,S100A12,S100A7,S100A8,S100A9,S1PR1,S1PR2,S1PR3,S1PR4,SAA1,SAA2,SAMD3,SAMD9L,SAMHD1,SAMSN1,SASH3,SCARF1,SELE,SELL,SELP,SELPLG,SEMA4D,SERPINA1,SERPINA3,SERPINB1,SERPINB3,SERPINB4,SERPINB9,SERPINE1,SERPINE2,SERPING1,SH2D1A,SH2D1B,SH2D3C,SIGLEC1,SIGLEC10,SIGLEC14,SIGLEC5,SIGLEC7,SIGLEC9,SIRPA,SIRPB1,SIRPB2,SIRPD,SIRPG,SKAP1,SLA,SLA2,SLAMF1,SLAMF6,SLAMF7,SLAMF8,SLC15A3,SLC16A3,SLC1A3,SLC2A3,SLC2A5,SLC5A5,SMAD7,SNAI1,SNX20,SOCS1,SOCS2,SOCS3,SOD2,SP100,SP110,SP140,SPHK1,SPI1,SPIB,SPN,SPOCK2,SPP1,SRC,SRGN,STAT1,STAT2,STAT3,STAT4,STAT5A,STEAP4,STING1,STX11,SYK,TAGAP,TANK,TAP1,TAPBP,TBX21,TBXAS1,TCF7,TCIRG1,TCL1A,TDO2,TFRC,TGFB1,TGM2,THBS1,THEMIS2,THY1,TICAM1,TICAM2,TIGIT,TIMD4,TIMP1,TLR1,TLR10,TLR2,TLR3,TLR4,TLR6,TLR7,TLR8,TLR9,TMC6,TMED7-TICAM2,TMEM176B,TMSB10,TMSB4X,TNF,TNFAIP2,TNFAIP3,TNFAIP6,TNFAIP8,TNFAIP8L2,TNFRSF10A,TNFRSF10B,TNFRSF11B,TNFRSF12A,TNFRSF13B,TNFRSF14,TNFRSF1B,TNFRSF4,TNFRSF6B,TNFRSF8,TNFRSF9,TNFSF10,TNFSF11,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF8,TNIP1,TNIP3,TOP1,TRADD,TRAF1,TRAF2,TRAF3,TRAF3IP3,TRAT1,TREM1,TREML1,TRIM21,TRIM22,TRIM25,TRIM5,TRIM56,TUBB,TXK,TXN,TYMP,TYROBP,UBA7,UBASH3A,UBD,UBE2L6,UCP2,ULBP2,UNC93B1,USP18,VAV1,VCAM1,VEGFC,VSIR,WARS1,WAS,WDFY4,XAF1,XCL1,XCL2,XDH,ZAP70,ZBP1,ZBTB32,ZC3H12A,ZC3HAV1,ZFP36,ZNF683"
