"regulator","ID","FDR","count","avg_corr","significant"
"IL12B",104,1.21411797694279e-80,204,0.4609673789198,TRUE
"IL13",44,4.45657753448052e-179,652,0.411991246885132,TRUE
"IL15",14,6.23372184926897e-251,707,0.429048425780229,TRUE
"IL16",17,2.22481039798283e-242,530,0.456521761368769,TRUE
"IL17A",32,2.11469313443291e-201,760,0.411254346102162,TRUE
"IL17B",130,3.39152487470386e-49,141,0.427214311174971,TRUE
"IL17C",117,1.56107825361888e-61,175,0.438370251670033,TRUE
"IL17D",137,4.77442475190837e-37,121,0.45070199961253,TRUE
"IL17F",62,4.22515184531352e-152,382,0.424679004860752,TRUE
"IL18",23,4.07529206532994e-212,742,0.417507147612383,TRUE
"IL19",100,1.74584460452337e-91,221,0.417907388762406,TRUE
"IL1A",43,2.34556301600236e-179,827,0.410584979301155,TRUE
"IL1B",28,4.35605611222057e-205,1176,0.405506407935034,TRUE
"IL1F10",135,8.34942893138467e-43,154,0.439128237478394,TRUE
"IL1RN",15,1.01585173145123e-249,620,0.432077020872637,TRUE
"IL2",57,4.82473334191565e-160,914,0.407636757207,TRUE
"IL20",156,1.57411906821728e-13,47,0.443879667437048,FALSE
"IL21",99,1.2572185256905e-94,259,0.440254423571881,TRUE
"IL22",52,1.42462859415681e-166,516,0.415878181647033,TRUE
"IL23A",80,1.25171472857537e-118,265,0.434564933353664,TRUE
"IL24",78,1.99788082953314e-119,309,0.447849083581875,TRUE
"IL25",116,1.52154855254935e-61,157,0.428247434882492,TRUE
"IL26",85,1.45283497797514e-107,236,0.417617584898918,TRUE
"IL27",132,1.56025139328849e-48,211,0.454997591832691,TRUE
"IL3",71,1.70376303507112e-127,487,0.420951446252922,TRUE
"IL31",115,4.9603316908646e-64,176,0.425118683325608,TRUE
"IL32",47,2.70440736064867e-175,371,0.441821570730992,TRUE
"IL33",63,1.83491355031593e-151,530,0.415904676989574,TRUE
"IL34",96,1.13815642164298e-98,280,0.439640682528273,TRUE
"IL36A",126,3.91178266600461e-52,177,0.431903835819824,TRUE
"IL36B",129,2.30594307008451e-50,152,0.410404187916085,FALSE
"IL36G",107,9.30540670849463e-77,223,0.431568866895759,TRUE
"IL36RN",121,1.21220981466226e-58,206,0.43048082363524,TRUE
"IL37",110,1.99106699491214e-70,212,0.438156058181485,TRUE
"IL4",34,1.10814934907365e-194,833,0.417030896744221,TRUE
"IL5",54,5.50400809637844e-166,539,0.420182504452616,TRUE
"IL6",48,3.68586711812108e-175,1181,0.398520202365597,TRUE
"IL7",50,1.98078811136427e-169,547,0.418681085403817,TRUE
"IL9",75,1.20028236369151e-123,365,0.424008223919018,TRUE
"INHBA",153,6.88163278218356e-17,234,0.416216879770838,TRUE
"KITLG",124,2.61376079864301e-54,409,0.408033997564673,TRUE
"LIF",138,6.79521822877839e-36,301,0.407935274473714,TRUE
"LTA",36,9.1680168914602e-191,461,0.420599139071906,TRUE
"LTB",6,1.63862876399596e-306,569,0.455264016856137,TRUE
"MIF",123,2.22992531205585e-54,373,0.41533297084207,TRUE
"NAMPT",140,1.1069790681932e-34,378,0.439263197833122,TRUE
"NRG1",167,0.00544470732598949,209,0.395690477418371,FALSE
"OSM",60,5.02121467388307e-156,435,0.439863885727544,TRUE
"PF4",68,8.00644452989559e-139,418,0.406503115987225,TRUE
"PF4V1",127,1.08067980936414e-51,191,0.372435159479148,FALSE
"PPBP",30,4.81048567866141e-202,503,0.415843747540958,TRUE
"SECTM1",134,2.40196076307807e-44,124,0.479559486367184,TRUE
"SPP1",111,3.30042707902219e-70,524,0.393500651647055,TRUE
"TGFB1",70,5.89533416254145e-128,914,0.409448412141233,TRUE
"TGFB2",131,1.03449690863665e-48,447,0.409672988831356,TRUE
"TGFB3",141,9.86383019098724e-34,352,0.411305591653916,TRUE
"THPO",133,3.163692196822e-45,227,0.423152409104135,TRUE
"TIMP1",103,3.52879396673964e-85,505,0.402468363543904,TRUE
"TNF",33,1.08535006646854e-198,1309,0.402929303914483,TRUE
"TNFRSF11B",143,2.86544603044758e-30,214,0.427577887789054,TRUE
"TNFSF10",11,1.97854477311059e-255,648,0.445623097710115,TRUE
"TNFSF11",82,4.17521815180061e-116,553,0.419574006917797,TRUE
"TNFSF12",84,8.50177527031362e-109,328,0.43876616097495,TRUE
"TNFSF13",61,1.88772054422289e-155,317,0.450244457784094,TRUE
"TNFSF13B",3,0,807,0.445512207521531,TRUE
"TNFSF14",29,9.03950804644698e-205,410,0.442003830333589,TRUE
"TNFSF15",79,1.08984719512574e-118,337,0.461717334777686,TRUE
"TNFSF18",89,4.15195646622476e-101,222,0.44775328420719,TRUE
"TNFSF4",58,1.39143935411175e-159,394,0.441065261163607,TRUE
"TNFSF8",13,6.36591129416319e-252,483,0.460433375852049,TRUE
"TNFSF9",56,4.05979340692222e-161,317,0.458793949624192,TRUE
"TSLP",83,1.66245579812393e-115,355,0.420043770281156,TRUE
"VSTM1",154,3.16151819164053e-15,67,0.355006310815164,FALSE
"WNT3A",168,0.00915734114578409,215,0.395890308142339,FALSE
"WNT5A",157,1.14687121296608e-11,332,0.40604271644943,TRUE
"XCL1",41,6.56134208532405e-186,432,0.433357391789417,TRUE
"XCL2",66,1.45080703148464e-140,313,0.436751130043154,TRUE
