regulator,p_adj,n_overlap,overlap_genes
CCL17,1.3825560858893727e-11,20,"ACKR2,CCL1,CCL22,CCL25,CCL26,CCL4,CCL5,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCRL2,CXCL17,CXCR3,CXCR4,IL13"
CD40LG,1.3825560858893727e-11,20,"CD27,CD28,CD4,CD40,CD80,CD86,CD8A,ICOS,IFNG,IL2,IL4,ITGB2,SELP,SELPLG,TNC,TNF,TNFRSF13B,TNFRSF4,TNFRSF9,TNFSF13B"
IL5,2.278258530474075e-11,19,"CCL11,CD4,CSF2,CSF2RB,CXCL8,IFNG,IL10,IL13,IL17A,IL1B,IL2,IL2RA,IL3,IL3RA,IL4,IL4R,IL6,IL9,TNF"
IL18,4.4042077159845326e-11,20,"CASP1,CASP4,CXCL1,CXCL8,GSDMD,IFNG,IL10,IL13,IL18BP,IL18R1,IL18RAP,IL1B,IL6,MEFV,MYD88,NFKB1,NLRC4,NLRP3,TLR4,TNF"
CXCL16,5.0407494582239326e-11,15,"CCR2,CCR5,CCR6,CCR7,CCRL2,CX3CL1,CXCL1,CXCL10,CXCL6,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR6"
CSF3,3.088201689489515e-10,27,"CCL11,CCL2,CCL3,CCL4,CCL5,CSF1,CSF2,CSF3R,CX3CL1,CXCL1,CXCL10,CXCL8,FLT3LG,IFNG,IL10,IL17A,IL1B,IL2,IL3,IL6,JAK2,PRL,PSMB2,PSMC1,PSMD13,STAT3,TNF"
IFNB1,8.638460201567057e-10,20,"CXCL10,IFIH1,IFIT1,IFNAR2,IFNG,IFNL1,IKBKE,IL6,IRF1,IRF7,IRF9,MYD88,NFKB1,STAT1,STAT2,TLR2,TLR3,TLR4,TNF,TRAF3"
IL9,1.1479882540800743e-9,16,"CCL11,IL10,IL13,IL15,IL1B,IL2,IL21R,IL2RA,IL2RG,IL3,IL4,IL4R,IL5,IL6,IL7R,JAK3"
CXCL3,2.1814884960398062e-9,14,"CCL11,CCL20,CCR7,CXCL1,CXCL10,CXCL11,CXCL2,CXCL5,CXCL6,CXCR1,CXCR2,CXCR4,NFKB1,XCL2"
PF4V1,2.1583233845862295e-8,15,"CCL11,CCL19,CCL22,CCL25,CCL26,CCL4L2,CCL5,CXCL10,CXCL11,CXCL13,CXCL9,CXCR3,SELP,XCL1,XCL2"
FASLG,3.30462137312366e-8,16,"CASP10,CASP8,CD40,CD8A,CFLAR,FAS,GNLY,GZMB,IFNG,PRF1,TNF,TNFRSF10A,TNFRSF10B,TNFRSF6B,TNFSF10,TRADD"
CXCL6,5.990583406303803e-8,13,"CCL11,CCL5,CCL7,CCL8,CXCL1,CXCL10,CXCL11,CXCL16,CXCL2,CXCL3,CXCL5,CXCR1,CXCR2"
CCL26,8.240993888746497e-8,16,"CCL11,CCL13,CCL17,CCL2,CCL5,CCL8,CCR1,CCR2,CCR3,CXCL10,CXCL11,CXCL17,CXCL9,CXCR3,XCL1,XCL2"
PPBP,1.1558237706776143e-7,14,"CCL13,CCL26,CCL5,CCL8,CCR2,CCR5,CXCL10,CXCL11,CXCL6,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4"
CXCL14,6.080938418678192e-7,13,"CCL11,CCL13,CCL17,CCL26,CCL5,CXCL10,CXCL11,CXCL17,CXCL2,CXCL5,CXCL9,CXCR4,XCL1"
CCL7,6.249931330402848e-7,10,"ACKR2,CCR1,CCR2,CCR3,CCR5,CXCL6,CXCL8,CXCR2,CXCR3,XCL2"
IL3,8.425159914779465e-7,16,"CSF1,CSF2,CSF2RB,CSF3,FLT3LG,IFNG,IL1B,IL2,IL3RA,IL4,IL5,IL6,IL9,JAK2,RUNX1,STAT5A"
CCL13,1.8308881794973126e-6,14,"CCL11,CCL26,CCL5,CCL8,CCR1,CCR2,CCR3,CCR5,CXCL10,CXCL11,CXCL17,CXCL9,CXCR3,XCL1"
IFNA1,3.929629302640103e-6,14,"IFNAR2,IFNB1,IFNG,IL10RB,IL6,IRF1,IRF7,IRF9,ISG15,NFKB1,STAT1,STAT2,TLR7,TNF"
HMGB1,8.19531579066671e-6,13,"AGER,CXCR4,GSDMD,HAVCR2,IL1B,LY96,NFKB1,SIGLEC10,TLR2,TLR3,TLR4,TLR9,TREM1"
CCL1,1.0477477447190106e-5,10,"CCL17,CCL5,CCR1,CCR2,CCR3,CCR5,CCR6,CCR8,CXCL11,CXCR2"
CCL24,2.386135981048393e-5,8,"CCL13,CCL5,CCR1,CCR2,CCR3,CXCL11,CXCR3,XCL1"
CCL27,3.394007593879953e-5,11,"ACKR2,CCL11,CCL25,CCL5,CCR2,CCR3,CCR6,CCR7,CXCL13,CXCR1,CXCR5"
XCL1,3.394007593879953e-5,12,"CCL11,CCL13,CCL26,CCL5,CCR5,CCR7,CXCL10,CXCL11,CXCL17,CXCL2,CXCL9,XCL2"
CCL28,5.731720538581079e-5,13,"CCL11,CCL13,CCL17,CCL26,CCL5,CCR3,CXCL10,CXCL13,CXCL17,CXCL2,CXCL9,XCL1,XCL2"
IL22,7.014902392068651e-5,10,"CD4,IFNG,IFNL2,IL10,IL10RA,IL10RB,IL17A,IL17F,IL22RA2,STAT3"
TNFSF10,7.014902392068651e-5,10,"CASP10,CASP8,CFLAR,FAS,FASLG,TNF,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF11B"
CCL16,1.52704848283788e-4,6,"CCL5,CCR1,CCR2,CCR5,CCR8,CXCR5"
XCL2,1.52704848283788e-4,10,"CCL20,CCL26,CCL5,CCL7,CCL8,CXCL17,CXCL2,CXCL3,CXCL5,XCL1"
CCL25,2.701199372421058e-4,11,"ACKR2,CCL17,CCL19,CCL5,CCR5,CCR6,CCR7,CCR8,CXCL11,CXCL17,CXCR3"
IFNA2,6.715929493955085e-4,8,"IFNAR2,IFNG,IFNL1,IL1B,IL6,IRF7,ISG15,STAT1"
TNFSF4,8.134199183630902e-4,6,"CD27,CD28,CD40LG,ICOS,TNFRSF4,TNFRSF9"
CSF1,0.0013769690921369658,8,"CSF1R,CSF2,CSF3,FLT3,IL3,NTRK1,SRC,TNFSF11"
IL23A,0.0025478463461054636,6,"IL12B,IL12RB1,IL12RB2,IL17A,IL17F,JAK2"
OSM,0.002921298187852283,7,"IL31RA,IL6,JAK2,LIF,LIFR,OSMR,STAT3"
CCL18,0.004524182426027062,5,"CCL11,CCR1,CCR5,CCR8,CXCR5"
CCL4L2,0.004524182426027062,5,"CCL2,CCL4,CCR5,CXCL13,IRF5"
IL33,0.0057943116796855395,7,"CASP1,CRLF2,IL13,IL1RL1,IL4,IL5,MYD88"
CCL14,0.006159914159007062,4,"CCL11,CCL22,CCR1,CCR5"
IL12A,0.006159914159007062,4,"EBI3,IL12B,IL12RB1,IL12RB2"
TIMP1,0.0103917159170325,7,"CD63,IL10,IL6,MMP1,MMP12,MMP3,MMP9"
IL11,0.012293854662512052,6,"IL6,IL6R,LIF,LIFR,OSM,OSMR"
IL17F,0.012293854662512052,6,"IL17A,IL17RA,IL22,IL23A,IL25,IL6"
KITLG,0.019217227726462293,8,"CSF1R,CXCR4,FLT3,FLT3LG,IL3,IL6,MMP9,NTRK1"
IL12B,0.023730686930018723,4,"IL12A,IL12RB1,IL12RB2,IL23A"
TNFSF12,0.023730686930018723,4,"TNF,TNFRSF12A,TNFSF13,TNFSF13B"
IFNL3,0.026322804379548412,5,"IFNL1,IFNL2,IL10RA,IL10RB,IL22RA2"
CCL15,0.03737846046837181,3,"CCL2,CCR1,CCR3"
TNFSF8,0.03737846046837181,3,"CD27,TNFRSF4,TNFRSF8"
TGFB1,0.04339098346222377,14,"ACVRL1,CXCL11,ENG,IL10,IL17A,IL1B,IL6,INHBA,ITGB6,MMP9,NRROS,SMAD7,THBS1,TNF"
