Source	Target	Type	Class	FDR_log
CCL3	CCL2	Directed	cytokine	12.3767507096021
CCL3	CCL20	Directed	cytokine	12.3767507096021
CCL3	CCL3	Directed	cytokine	12.3767507096021
CCL3	CCL4	Directed	cytokine	12.3767507096021
CCL3	CCR1	Directed	cytokine	12.3767507096021
CCL3	CCR5	Directed	cytokine	12.3767507096021
CCL3	CXCL9	Directed	cytokine	12.3767507096021
CCL3	IFNG	Directed	cytokine	12.3767507096021
CCL3	IL1B	Directed	cytokine	12.3767507096021
CCL3	IL6	Directed	cytokine	12.3767507096021
CCL3	ITGA5	Directed	cytokine	12.3767507096021
CCL3	ITGAM	Directed	cytokine	12.3767507096021
CCL3	SELE	Directed	cytokine	12.3767507096021
CCL3	STAT1	Directed	cytokine	12.3767507096021
CCL3	STAT3	Directed	cytokine	12.3767507096021
CCL3	TNF	Directed	cytokine	12.3767507096021
CCL3	TNFSF11	Directed	cytokine	12.3767507096021
CD40LG	ANXA6	Directed	cytokine	107.06803388527183
CD40LG	APOBEC3G	Directed	cytokine	107.06803388527183
CD40LG	ARSB	Directed	cytokine	107.06803388527183
CD40LG	ASCC3	Directed	cytokine	107.06803388527183
CD40LG	ATF3	Directed	cytokine	107.06803388527183
CD40LG	ATF5	Directed	cytokine	107.06803388527183
CD40LG	B2M	Directed	cytokine	107.06803388527183
CD40LG	BAK1	Directed	cytokine	107.06803388527183
CD40LG	BATF	Directed	cytokine	107.06803388527183
CD40LG	BATF3	Directed	cytokine	107.06803388527183
CD40LG	BAX	Directed	cytokine	107.06803388527183
CD40LG	BCL2A1	Directed	cytokine	107.06803388527183
CD40LG	BIRC3	Directed	cytokine	107.06803388527183
CD40LG	CA2	Directed	cytokine	107.06803388527183
CD40LG	CASP1	Directed	cytokine	107.06803388527183
CD40LG	CCL17	Directed	cytokine	107.06803388527183
CD40LG	CCL18	Directed	cytokine	107.06803388527183
CD40LG	CCL19	Directed	cytokine	107.06803388527183
CD40LG	CCL2	Directed	cytokine	107.06803388527183
CD40LG	CCL20	Directed	cytokine	107.06803388527183
CD40LG	CCL22	Directed	cytokine	107.06803388527183
CD40LG	CCL3	Directed	cytokine	107.06803388527183
CD40LG	CCL4	Directed	cytokine	107.06803388527183
CD40LG	CCL5	Directed	cytokine	107.06803388527183
CD40LG	CCND3	Directed	cytokine	107.06803388527183
CD40LG	CCR1	Directed	cytokine	107.06803388527183
CD40LG	CCR2	Directed	cytokine	107.06803388527183
CD40LG	CCR5	Directed	cytokine	107.06803388527183
CD40LG	CCR7	Directed	cytokine	107.06803388527183
CD40LG	CD1C	Directed	cytokine	107.06803388527183
CD40LG	CD1D	Directed	cytokine	107.06803388527183
CD40LG	CD27	Directed	cytokine	107.06803388527183
CD40LG	CD38	Directed	cytokine	107.06803388527183
CD40LG	CD40	Directed	cytokine	107.06803388527183
