Id	log2FoldChange	padj
ENSG00000066294	1.654	1.00563305339349e-42
ENSG00000066336	2.668	4.00518357721856e-93
ENSG00000066697	1.212	9.05006020252709e-42
ENSG00000067057	1.628	2.96912225548614e-61
ENSG00000067066	2.237	5.74188542735551e-111
ENSG00000067082	1.165	3.566601550308e-41
ENSG00000067221	1.241	3.08276801313557e-69
ENSG00000067225	1.543	1.04063501138775e-64
ENSG00000068079	4.169	2.22731554461191e-161
ENSG00000068366	1.984	1.67827788298011e-50
ENSG00000068781	1.439	0.000132482743951782
ENSG00000068796	1.258	4.79740940162475e-35
ENSG00000068831	1.947	1.69953368887123e-57
ENSG00000069011	1.142	5.14063172623888e-13
ENSG00000069399	2.228	7.91721929921212e-89
ENSG00000069424	1.389	2.19183663793065e-48
ENSG00000069493	1.802	1.12189482977059e-45
ENSG00000069974	1.412	2.02608082888227e-64
ENSG00000070031	1.363	1.98989229112761e-06
ENSG00000070190	1.984	1.5027677187987e-59
ENSG00000070495	1.188	6.51996914763053e-47
ENSG00000070915	3.72	3.51354572807721e-80
ENSG00000071073	1.963	8.80358693165697e-63
ENSG00000071127	1.263	1.56324379826139e-78
ENSG00000071246	1.555	1.23471273420768e-43
ENSG00000072110	1.503	1.7410872485289e-45
ENSG00000072135	1.032	9.10138344087487e-37
ENSG00000072274	1.006	6.90561053966803e-28
ENSG00000072401	1.575	3.99509058520615e-25
ENSG00000072694	1.232	2.78795522042092e-21
ENSG00000072818	2.243	5.9181975517379e-78
ENSG00000072858	1.814	1.28890423912871e-55
ENSG00000073756	3.199	1.96166786233384e-46
ENSG00000073792	1.069	7.91901841649292e-30
ENSG00000073861	5.72	1.38312592069721e-170
ENSG00000074660	1.621	2.52151643186351e-16
ENSG00000074706	2.65	1.64957966624284e-77
ENSG00000074800	1.824	8.92802577140747e-72
ENSG00000074842	1.589	1.59745896015153e-64
ENSG00000074966	1.712	1.88286138115835e-45
ENSG00000075142	1.262	9.04902322551056e-49
ENSG00000075399	1.002	9.43791042396497e-24
ENSG00000075618	1.675	1.36023940990529e-23
ENSG00000075624	2.497	3.41321888715149e-131
ENSG00000075884	2.588	7.5234540533356e-98
ENSG00000076641	1.222	1.51949930356793e-35
ENSG00000076662	2.406	1.31157489817661e-84
ENSG00000076928	1.006	3.86914935838325e-40
ENSG00000076944	1.24	2.20904442549789e-31
ENSG00000077150	2.406	5.43827440207652e-90
ENSG00000077238	2.308	3.00589758927375e-111
ENSG00000077420	2.14	5.65012708519842e-83
ENSG00000077984	4.656	4.36524789075562e-122
ENSG00000078081	4.848	1.04262276809924e-133
ENSG00000078237	1.033	1.51481475695098e-39
ENSG00000078589	3.027	2.26072207970979e-81
ENSG00000079215	1.822	3.60924090418043e-49
ENSG00000079263	3.919	9.45317712718124e-113
ENSG00000079385	1.782	2.70588242572996e-57
ENSG00000080493	1.297	6.69556153581727e-14
ENSG00000080608	1.027	2.68401559492527e-50
ENSG00000080824	1.141	2.89850303686036e-45
ENSG00000081041	3.486	1.12665028839768e-51
ENSG00000081052	1.365	2.49017796614734e-33
ENSG00000081059	1.977	4.35814059801512e-54
ENSG00000081237	4.138	2.19866132875231e-137
ENSG00000081320	1.991	1.17080166624538e-49
ENSG00000081479	2.477	5.3360690145956e-36
ENSG00000081800	1.259	0.000689517243342321
ENSG00000081985	3.729	9.67676760656108e-174
ENSG00000082074	4.047	1.19805494986807e-149
ENSG00000082212	1.211	3.63088035702815e-61
ENSG00000082397	1.525	7.28488623757428e-47
ENSG00000083454	5.445	1.55599570893386e-100
ENSG00000083799	1.765	5.20696400747373e-67
ENSG00000084070	1.783	3.90904058739802e-71
ENSG00000085265	3.295	1.8332354859026e-94
ENSG00000085449	1.278	2.55913908544273e-31
ENSG00000085491	1.604	1.27035840957013e-28
ENSG00000085514	3.429	5.09399617670927e-92
ENSG00000086061	2.159	3.0516125949851e-104
ENSG00000086062	1.316	7.78636571305142e-53
ENSG00000086065	1.058	2.97684492928249e-28
ENSG00000086288	2.222	3.67232130193811e-27
ENSG00000086300	4.784	1.78787998037723e-130
ENSG00000086730	2.468	3.06527496443202e-107
ENSG00000086967	1.922	1.34764644438526e-23
ENSG00000087085	3.112	2.15373403366348e-58
ENSG00000087088	1.28	2.9933838622965e-33
ENSG00000087237	1.21	3.79163597354534e-33
ENSG00000087589	3.076	8.48566300974995e-85
ENSG00000088298	1.487	1.1280343628373e-67
ENSG00000088827	2.25	1.59648280814265e-34
ENSG00000088832	1.231	3.92742784880311e-86
ENSG00000088881	1.297	8.08713931636493e-16
ENSG00000089012	3.072	7.78261258497424e-69
ENSG00000089127	3.489	9.07402032559749e-111
ENSG00000089327	1.762	4.09914453185562e-44
ENSG00000089351	1.3	1.43393021527342e-24
ENSG00000089558	1.2	1.16041153041057e-10
ENSG00000089639	1.847	3.41274976335354e-62
ENSG00000089692	5	5.86533664609439e-92
ENSG00000089820	2.135	3.25976985139363e-61
ENSG00000090104	5.811	7.61294037032616e-134
ENSG00000090339	4.567	1.35172045198857e-199
ENSG00000090382	3.435	1.99122690531252e-86
ENSG00000090520	1.526	1.4791735674027e-105
ENSG00000090554	1.516	2.55765802224386e-55
ENSG00000090659	1.298	1.25318515885085e-20
ENSG00000090924	1.53	1.56130511042543e-53
ENSG00000091106	3.107	2.10718886183931e-89
ENSG00000091129	1.212	6.30850834510425e-19
ENSG00000091137	3.444	1.3319315569109e-60
ENSG00000091490	1.757	1.94700436290322e-72
ENSG00000091527	1.019	3.91393609587267e-51
ENSG00000091664	2.56	5.21849175791281e-09
ENSG00000091972	1.19	2.33017850431277e-20
ENSG00000092010	2.453	2.10833669358137e-165
ENSG00000092020	1.105	6.02011752416122e-43
ENSG00000092054	2.894	1.71475946282468e-30
ENSG00000092067	1.393	1.07057950213192e-07
ENSG00000092841	1.27	1.02988473378864e-40
ENSG00000092929	1.488	1.40087750760155e-32
ENSG00000093072	2.728	6.95673754744661e-92
ENSG00000095370	1.022	8.15249646113274e-31
ENSG00000095380	1.267	5.20214854997697e-69
ENSG00000095794	2.08	3.7604161185505e-53
ENSG00000096968	2.488	2.30588854794154e-64
ENSG00000096996	3.319	8.82795296721274e-148
ENSG00000097046	1.221	1.42742992177446e-33
ENSG00000099331	1.079	5.65973567948269e-35
ENSG00000099860	2.253	2.78892302787811e-99
ENSG00000099985	6.184	1.27382567467095e-132
ENSG00000099998	2.31	5.26146274081599e-46
ENSG00000100055	2.509	9.16041856503447e-102
ENSG00000100060	1.822	3.63414057339433e-64
ENSG00000100077	1.144	4.25129608352713e-30
ENSG00000100078	1.092	4.33660598033143e-19
ENSG00000100079	4.136	1.27779688587365e-101
ENSG00000100226	1.027	4.31410388318949e-39
ENSG00000100285	1.656	1.87995591966793e-43
ENSG00000100298	2.993	7.24619592581543e-39
ENSG00000100336	3.004	5.16129181348032e-107
ENSG00000100342	5.426	7.81653937477693e-300
ENSG00000100346	2.977	1.81596800316003e-78
ENSG00000100351	2.73	4.36621276330776e-105
ENSG00000100365	2.456	1.13834391358407e-60
ENSG00000100368	3.765	2.45428420300626e-96
ENSG00000100373	2.045	2.69251932305406e-12
ENSG00000100385	2.94	8.92494012907617e-78
ENSG00000100450	4.833	2.12822624388377e-90
ENSG00000100453	8.369	1.43470533684919e-183
ENSG00000100567	1.422	2.14266633552619e-82
ENSG00000100600	1.028	3.555068706587e-28
ENSG00000100644	1.971	1.18739539705607e-38
ENSG00000100647	1.051	2.6413961652746e-31
ENSG00000100721	5.808	1.00761037329044e-85
ENSG00000100731	2.045	2.19531741945421e-55
ENSG00000100764	1.038	2.62332573693871e-35
ENSG00000100902	1.834	7.06877753988287e-92
ENSG00000100906	1.847	2.27474298290182e-54
ENSG00000100911	3.56	9.30007525587945e-191
ENSG00000100918	1.377	6.21350313896541e-62
ENSG00000100985	3.456	4.45435674272831e-65
ENSG00000101000	1.587	3.63332137965683e-61
ENSG00000101017	3.483	5.05528925393197e-143
ENSG00000101082	3.611	3.08082989725965e-123
ENSG00000101084	1.562	5.31811950067088e-61
ENSG00000101109	1.105	6.34851074662799e-31
ENSG00000101134	2.568	1.75813995784434e-70
ENSG00000101160	2.841	5.42555602273132e-118
ENSG00000101182	1.21	4.2371011031819e-48
ENSG00000101224	1.194	1.67519131165139e-47
ENSG00000101246	1.192	5.2694129886773e-41
ENSG00000101265	2.443	2.12022694816158e-85
ENSG00000101294	1.335	8.79059388240475e-59
ENSG00000101307	3.327	2.6225204997751e-87
ENSG00000101310	1.234	1.58672274719064e-56
ENSG00000101336	3.539	3.58787339306492e-148
ENSG00000101342	2.354	2.65133298672004e-101
ENSG00000101347	3.231	3.15157561678184e-183
ENSG00000101367	1.232	1.88985264097827e-71
ENSG00000101438	6.023	2.80454387094717e-45
ENSG00000101443	1.516	4.18560621192094e-12
ENSG00000101445	2.447	3.70821252564187e-63
ENSG00000101577	2.011	1.27121031658014e-64
ENSG00000101596	1.619	4.25576297685291e-40
ENSG00000101608	1.736	4.34139694535569e-84
ENSG00000101665	1.061	1.04076578257847e-23
ENSG00000101670	3.934	8.13184934944713e-118
ENSG00000101916	4.021	3.61078563960143e-104
ENSG00000101974	1.203	1.41653539825646e-29
ENSG00000101977	2.393	1.83537926599049e-28
ENSG00000101986	1.629	2.38214165825412e-31
ENSG00000102032	1.11	3.5162287076108e-15
ENSG00000102034	1.381	9.85888552869864e-50
ENSG00000102096	3.288	2.27870139577721e-119
ENSG00000102144	1.491	4.67067339568944e-60
ENSG00000102218	1.772	8.21580754486545e-52
ENSG00000102245	3.719	2.71815845139272e-101
ENSG00000102265	3.487	5.32815508864745e-94
ENSG00000102445	1.522	1.03584962213811e-79
ENSG00000102524	3.992	9.84252263006546e-121
ENSG00000102699	1.239	1.7991638626228e-32
ENSG00000102755	1.342	7.83839861688584e-40
ENSG00000102794	9.925	7.35512429648582e-90
ENSG00000102802	1.413	9.12672932340803e-24
ENSG00000102837	4.694	1.96159616005156e-21
ENSG00000102871	1.528	8.49736506286268e-37
ENSG00000102879	3.389	3.63789390790033e-140
ENSG00000102962	3.45	4.42796911965272e-64
ENSG00000102970	5.429	1.38951846551951e-60
ENSG00000103005	1.196	1.14768804356296e-65
ENSG00000103043	1.109	4.15071936508699e-31
ENSG00000103044	2.6	5.92973721756595e-40
ENSG00000103187	3.649	2.69143187120841e-178
ENSG00000103196	1.78	2.14700694387959e-85
ENSG00000103241	1.099	2.9709494679708e-11
ENSG00000103274	1.519	8.97231302668521e-125
ENSG00000103313	3.912	5.41709141601502e-116
ENSG00000103355	1.595	0.000163328945809542
ENSG00000103429	1.053	8.76621598248498e-57
ENSG00000103522	3.806	1.05613906865323e-115
ENSG00000103591	1.005	2.45095820421609e-81
ENSG00000103642	2.317	9.83557256476744e-80
ENSG00000103653	1.369	2.39517884485426e-62
ENSG00000103811	1.408	2.66963883427413e-35
ENSG00000103966	1.613	8.30348421890875e-71
ENSG00000104043	1.357	1.13929019052813e-31
ENSG00000104064	1.084	6.44569448855637e-39
ENSG00000104093	2.021	1.45179983012017e-37
ENSG00000104267	2.172	3.78764158521952e-42
ENSG00000104312	2.28	1.28858626838844e-67
ENSG00000104320	1.8	1.66066064243369e-51
ENSG00000104518	2.872	5.26702061519691e-90
ENSG00000104522	1.153	3.38387309638997e-43
ENSG00000104626	1.572	4.46768817475748e-10
ENSG00000104635	2.919	3.84716175441555e-124
ENSG00000104689	1.781	7.3562860094511e-78
ENSG00000104774	1.069	3.36918675867287e-34
ENSG00000104805	1.255	1.30911991147646e-54
ENSG00000104814	2.146	2.46743249355396e-71
ENSG00000104825	1.019	1.73850271885845e-27
ENSG00000104856	2.845	5.72594749932088e-105
ENSG00000104894	2.29	5.17771545045316e-71
ENSG00000104903	1.418	1.52290698382149e-31
ENSG00000104918	1.684	5.24292521275947e-06
ENSG00000104921	3.307	7.07596761293705e-46
ENSG00000104951	6.748	1.21656156783807e-208
ENSG00000104972	6.058	1.88375027178166e-220
ENSG00000104974	5.43	7.06736406289923e-117
ENSG00000104998	2.693	3.19994297899823e-106
ENSG00000105122	3.214	3.4541024618588e-105
ENSG00000105198	2.179	1.05165517795192e-07
ENSG00000105205	3.627	2.76739603481482e-32
ENSG00000105246	5.685	2.37682640373048e-94
ENSG00000105251	4.976	3.5613342745899e-33
ENSG00000105254	1.299	2.67972942487844e-68
ENSG00000105255	1.74	4.36060013308691e-23
ENSG00000105329	2.335	4.99230734925144e-80
ENSG00000105339	1.114	1.20459438430213e-30
