Id	Label	Class	FDR_log
PSMB9	PSMB9	target	1
PSME1	PSME1	target	1
PSME2	PSME2	target	1
PTPN1	PTPN1	target	1
PTPN7	PTPN7	target	1
RASSF2	RASSF2	target	1
RB1	RB1	target	1
RELB	RELB	target	1
RGS1	RGS1	target	1
RUNX3	RUNX3	target	1
SAMSN1	SAMSN1	target	1
SELL	SELL	target	1
SELP	SELP	target	1
SELPLG	SELPLG	target	1
SEMA4D	SEMA4D	target	1
SERPINE1	SERPINE1	target	1
SLAMF1	SLAMF1	target	1
SOCS1	SOCS1	target	1
STAT4	STAT4	target	1
STAT5A	STAT5A	target	1
STK4	STK4	target	1
TANK	TANK	target	1
TAP1	TAP1	target	1
TAP2	TAP2	target	1
TFRC	TFRC	target	1
TGM2	TGM2	target	1
TICAM1	TICAM1	target	1
TNFAIP2	TNFAIP2	target	1
TNFAIP6	TNFAIP6	target	1
TNFRSF11B	TNFRSF11B	target	1
TNFRSF13B	TNFRSF13B	target	1
TNFSF8	TNFSF8	target	1
TNIP1	TNIP1	target	1
TRADD	TRADD	target	1
TRAF2	TRAF2	target	1
TRAF3	TRAF3	target	1
TUBB	TUBB	target	1
TYMP	TYMP	target	1
UBD	UBD	target	1
ZAP70	ZAP70	target	1
ADGRE1	ADGRE1	target	1
ADGRE5	ADGRE5	target	1
ALOX5	ALOX5	target	1
APOL6	APOL6	target	1
BCL2L11	BCL2L11	target	1
BHLHE40	BHLHE40	target	1
BST2	BST2	target	1
C5AR1	C5AR1	target	1
CCND2	CCND2	target	1
CD209	CD209	target	1
CD274	CD274	target	1
CD68	CD68	target	1
CD74	CD74	target	1
CIMAP1B	CIMAP1B	target	1
CMPK2	CMPK2	target	1
CMTR1	CMTR1	target	1
CSF1R	CSF1R	target	1
CTSH	CTSH	target	1
DDX60	DDX60	target	1
DDX60L	DDX60L	target	1
DHX58	DHX58	target	1
DOK2	DOK2	target	1
DTX3L	DTX3L	target	1
ENO1	ENO1	target	1
FCGR2A	FCGR2A	target	1
FCGR3A	FCGR3A	target	1
FERMT3	FERMT3	target	1
GAB3	GAB3	target	1
GBP1	GBP1	target	1
GLS	GLS	target	1
GPR68	GPR68	target	1
GRAP2	GRAP2	target	1
HELZ2	HELZ2	target	1
HERC5	HERC5	target	1
HLA-A	HLA-A	target	1
HSP90B1	HSP90B1	target	1
HSPA5	HSPA5	target	1
IFI16	IFI16	target	1
IFI35	IFI35	target	1
IFI44L	IFI44L	target	1
IFIH1	IFIH1	target	1
IFIT5	IFIT5	target	1
IKBKE	IKBKE	target	1
IL18BP	IL18BP	target	1
IL1RL1	IL1RL1	target	1
IL23A	IL23A	target	1
IRF5	IRF5	target	1
IRF7	IRF7	target	1
IRF8	IRF8	target	1
IRF9	IRF9	target	1
ITGAX	ITGAX	target	1
ITGB3	ITGB3	target	1
LAG3	LAG3	target	1
LAP3	LAP3	target	1
LDHA	LDHA	target	1
LGALS3BP	LGALS3BP	target	1
LGALS9	LGALS9	target	1
LY6E	LY6E	target	1
MMP12	MMP12	target	1
MPO	MPO	target	1
MRC1	MRC1	target	1
MX2	MX2	target	1
MYD88	MYD88	target	1
NBN	NBN	target	1
OAS1	OAS1	target	1
OAS2	OAS2	target	1
OAS3	OAS3	target	1
OASL	OASL	target	1
OGFR	OGFR	target	1
OSCAR	OSCAR	target	1
P2RY12	P2RY12	target	1
PARP10	PARP10	target	1
PARP14	PARP14	target	1
PARP9	PARP9	target	1
PHF11	PHF11	target	1
PKM	PKM	target	1
PLSCR1	PLSCR1	target	1
PTPRC	PTPRC	target	1
PTPRJ	PTPRJ	target	1
RIGI	RIGI	target	1
RSAD2	RSAD2	target	1
RUNX1	RUNX1	target	1
SAMD9	SAMD9	target	1
SAMD9L	SAMD9L	target	1
SAMHD1	SAMHD1	target	1
SERPINE2	SERPINE2	target	1
SHISA5	SHISA5	target	1
SIGLEC1	SIGLEC1	target	1
SLC16A3	SLC16A3	target	1
SLCO2B1	SLCO2B1	target	1
SOCS2	SOCS2	target	1
SP110	SP110	target	1
SPP1	SPP1	target	1
STAT2	STAT2	target	1
TDO2	TDO2	target	1
THBS1	THBS1	target	1
TLR1	TLR1	target	1
TLR2	TLR2	target	1
TLR6	TLR6	target	1
TLR9	TLR9	target	1
TNFRSF1B	TNFRSF1B	target	1
TPI1	TPI1	target	1
TRANK1	TRANK1	target	1
TRIM14	TRIM14	target	1
TRIM21	TRIM21	target	1
TRIM22	TRIM22	target	1
TRIM25	TRIM25	target	1
TRIM5	TRIM5	target	1
UBE2L6	UBE2L6	target	1
USP18	USP18	target	1
XAF1	XAF1	target	1
ZNFX1	ZNFX1	target	1
ADAM8	ADAM8	target	1
AKR1A1	AKR1A1	target	1
ALOX5AP	ALOX5AP	target	1
ANXA1	ANXA1	target	1
BID	BID	target	1
CARD11	CARD11	target	1
CARD16	CARD16	target	1
CARD6	CARD6	target	1
CASP3	CASP3	target	1
CCL25	CCL25	target	1
CCRL2	CCRL2	target	1
CD14	CD14	target	1
CD180	CD180	target	1
CD1B	CD1B	target	1
CD28	CD28	target	1
CD33	CD33	target	1
CD5	CD5	target	1
CEACAM1	CEACAM1	target	1
CHST11	CHST11	target	1
CISH	CISH	target	1
CLEC4C	CLEC4C	target	1
CLEC4E	CLEC4E	target	1
CSF2RB	CSF2RB	target	1
CTLA4	CTLA4	target	1
DUSP6	DUSP6	target	1
FFAR2	FFAR2	target	1
FOSL1	FOSL1	target	1
FPR2	FPR2	target	1
GCLM	GCLM	target	1
GRK3	GRK3	target	1
HAS2	HAS2	target	1
HCAR2	HCAR2	target	1
HCAR3	HCAR3	target	1
HLA-DMA	HLA-DMA	target	1
HLA-DMB	HLA-DMB	target	1
HSPH1	HSPH1	target	1
ICOS	ICOS	target	1
IER3	IER3	target	1
INPP5D	INPP5D	target	1
KLF1	KLF1	target	1
LCP1	LCP1	target	1
LY75	LY75	target	1
LY9	LY9	target	1
LY96	LY96	target	1
MET	MET	target	1
MME	MME	target	1
ODC1	ODC1	target	1
OSM	OSM	target	1
OSMR	OSMR	target	1
PDE1B	PDE1B	target	1
PDE4B	PDE4B	target	1
PIM2	PIM2	target	1
PIM3	PIM3	target	1
PROK2	PROK2	target	1
PTGER2	PTGER2	target	1
PTGER4	PTGER4	target	1
REC8	REC8	target	1
RHOH	RHOH	target	1
RIPK2	RIPK2	target	1
RIPOR2	RIPOR2	target	1
SCIMP	SCIMP	target	1
SERPINB9	SERPINB9	target	1
SLAMF7	SLAMF7	target	1
SLC30A7	SLC30A7	target	1
SNRPD1	SNRPD1	target	1
SPHK1	SPHK1	target	1
TARP	TARP	target	1
TIFA	TIFA	target	1
TNFRSF4	TNFRSF4	target	1
TNFRSF9	TNFRSF9	target	1
TPM4	TPM4	target	1
TREM1	TREM1	target	1
UPP1	UPP1	target	1
ZFP36	ZFP36	target	1
ACTN1	ACTN1	target	1
ARHGDIA	ARHGDIA	target	1
ARPC5	ARPC5	target	1
CD300LF	CD300LF	target	1
CEBPE	CEBPE	target	1
CSF3R	CSF3R	target	1
CXCR2	CXCR2	target	1
ENPP2	ENPP2	target	1
ERAP2	ERAP2	target	1
ETS1	ETS1	target	1
FLOT1	FLOT1	target	1
FPR1	FPR1	target	1
GADD45B	GADD45B	target	1
GFI1	GFI1	target	1
GNLY	GNLY	target	1
GZMH	GZMH	target	1
HLA-DPA1	HLA-DPA1	target	1
HLA-DRA	HLA-DRA	target	1
HLA-DRB1	HLA-DRB1	target	1
JAK3	JAK3	target	1
KLRC1	KLRC1	target	1
KLRC2	KLRC2	target	1
LBP	LBP	target	1
LCN2	LCN2	target	1
LTF	LTF	target	1
NFIL3	NFIL3	target	1
PDCD1LG2	PDCD1LG2	target	1
PLCB2	PLCB2	target	1
PRKCB	PRKCB	target	1
PYHIN1	PYHIN1	target	1
RAB27A	RAB27A	target	1
TLR8	TLR8	target	1
AIF1	AIF1	target	1
ARPC4	ARPC4	target	1
CCL1	CCL1	target	1
CD3G	CD3G	target	1
CD4	CD4	target	1
CD47	CD47	target	1
CX3CL1	CX3CL1	target	1
CXCR6	CXCR6	target	1
CYLD	CYLD	target	1
GAD1	GAD1	target	1
HCLS1	HCLS1	target	1
HLA-B	HLA-B	target	1
IFI27	IFI27	target	1
IFNAR2	IFNAR2	target	1
IFNGR2	IFNGR2	target	1
ITGAL	ITGAL	target	1
LCP2	LCP2	target	1
PRKCD	PRKCD	target	1
SAA2	SAA2	target	1
SNAI1	SNAI1	target	1
TNFRSF10A	TNFRSF10A	target	1
TNFRSF10B	TNFRSF10B	target	1
TNFRSF10C	TNFRSF10C	target	1
ACTB	ACTB	target	1
ADAM12	ADAM12	target	1
ADAM19	ADAM19	target	1
AREG	AREG	target	1
CCN1	CCN1	target	1
COL4A1	COL4A1	target	1
HAND1	HAND1	target	1
HSPA8	HSPA8	target	1
MSN	MSN	target	1
MYH7	MYH7	target	1
MYL6	MYL6	target	1
MYO9B	MYO9B	target	1
PDIA6	PDIA6	target	1
PRL	PRL	target	1
RETN	RETN	target	1
SLC8A1	SLC8A1	target	1
TNC	TNC	target	1
TPM3	TPM3	target	1
ACTC1	ACTC1	target	1
ACVRL1	ACVRL1	target	1
ADM	ADM	target	1
ANGPTL4	ANGPTL4	target	1
ANPEP	ANPEP	target	1
CNP	CNP	target	1
CTSL	CTSL	target	1
ELAVL4	ELAVL4	target	1
EOMES	EOMES	target	1
FTH1	FTH1	target	1
LEF1	LEF1	target	1
NES	NES	target	1
NEUROG3	NEUROG3	target	1
PGF	PGF	target	1
PGK1	PGK1	target	1
PTPRE	PTPRE	target	1
S100A10	S100A10	target	1
S100A8	S100A8	target	1
SCG2	SCG2	target	1
SLC20A1	SLC20A1	target	1
SLC41A2	SLC41A2	target	1
ST3GAL1	ST3GAL1	target	1
STOM	STOM	target	1
TMSB10	TMSB10	target	1
TNFRSF12A	TNFRSF12A	target	1
UTF1	UTF1	target	1
YWHAH	YWHAH	target	1
ZFP57	ZFP57	target	1
CD19	CD19	target	1
CD3D	CD3D	target	1
CD79A	CD79A	target	1
FLT3	FLT3	target	1
IL15RA	IL15RA	target	1
PAX5	PAX5	target	1
SLC12A3	SLC12A3	target	1
SPN	SPN	target	1
ATP6V1B2	ATP6V1B2	target	1
C1QA	C1QA	target	1
C1QB	C1QB	target	1
C1QC	C1QC	target	1
CD300A	CD300A	target	1
CD84	CD84	target	1
CDC7	CDC7	target	1
CH25H	CH25H	target	1
CST7	CST7	target	1
CTSB	CTSB	target	1
CTSS	CTSS	target	1
CTSZ	CTSZ	target	1
DOK3	DOK3	target	1
MS4A6A	MS4A6A	target	1
NCEH1	NCEH1	target	1
NPC2	NPC2	target	1
PSMA5	PSMA5	target	1
SIRPA	SIRPA	target	1
SLC32A1	SLC32A1	target	1
TYROBP	TYROBP	target	1
XPNPEP1	XPNPEP1	target	1
AGER	AGER	target	1
GLUL	GLUL	target	1
HLA-G	HLA-G	target	1
PLA2G2A	PLA2G2A	target	1
PTGES	PTGES	target	1
RAB43	RAB43	target	1
SMAD7	SMAD7	target	1
CCL8	CCL8	target	1
PLAAT4	PLAAT4	target	1
ZBP1	ZBP1	target	1
BCL2L14	BCL2L14	target	1
C1R	C1R	target	1
CXCL13	CXCL13	target	1
EPB41L3	EPB41L3	target	1
GBP2	GBP2	target	1
GBP4	GBP4	target	1
HERC6	HERC6	target	1
HLA-C	HLA-C	target	1
HLA-E	HLA-E	target	1
HSH2D	HSH2D	target	1
HSPA6	HSPA6	target	1
IFI27L2	IFI27L2	target	1
IFITM2	IFITM2	target	1
IFITM3	IFITM3	target	1
IL10RB	IL10RB	target	1
IL12RB2	IL12RB2	target	1
ISG20	ISG20	target	1
KCNK17	KCNK17	target	1
LILRB2	LILRB2	target	1
LILRB4	LILRB4	target	1
LYN	LYN	target	1
MT1F	MT1F	target	1
MT1M	MT1M	target	1
NT5E	NT5E	target	1
PARP12	PARP12	target	1
PARP4	PARP4	target	1
PLSCR2	PLSCR2	target	1
PTAFR	PTAFR	target	1
SEPTIN4	SEPTIN4	target	1
SH2D1A	SH2D1A	target	1
SHFL	SHFL	target	1
SLC15A3	SLC15A3	target	1
SLFN11	SLFN11	target	1
SLFN12	SLFN12	target	1
SLFN12L	SLFN12L	target	1
SLFN13	SLFN13	target	1
SLFN5	SLFN5	target	1
SP100	SP100	target	1
TBX21	TBX21	target	1
TDRD7	TDRD7	target	1
THEMIS2	THEMIS2	target	1
TLR3	TLR3	target	1
UBA7	UBA7	target	1
ZC3HAV1	ZC3HAV1	target	1
JAML	JAML	target	1
PIK3AP1	PIK3AP1	target	1
TREML2	TREML2	target	1
ACOD1	ACOD1	target	1
APOL1	APOL1	target	1
APOL2	APOL2	target	1
APOL3	APOL3	target	1
BTN3A3	BTN3A3	target	1
CASP8	CASP8	target	1
CCL7	CCL7	target	1
CREM	CREM	target	1
DAXX	DAXX	target	1
NMI	NMI	target	1
NNMT	NNMT	target	1
NOCT	NOCT	target	1
NOD1	NOD1	target	1
NOD2	NOD2	target	1
NT5C3A	NT5C3A	target	1
NUB1	NUB1	target	1
PDCD1	PDCD1	target	1
RND3	RND3	target	1
SIDT1	SIDT1	target	1
SLC39A14	SLC39A14	target	1
STARD4	STARD4	target	1
TLR7	TLR7	target	1
TRIM38	TRIM38	target	1
HSD11B1	HSD11B1	target	1
ACE2	ACE2	target	1
ADA2	ADA2	target	1
ADAMTS8	ADAMTS8	target	1
ADAMTS9	ADAMTS9	target	1
ADCY7	ADCY7	target	1
ADGRG2	ADGRG2	target	1
ADORA2A	ADORA2A	target	1
AIM2	AIM2	target	1
ALDH1A3	ALDH1A3	target	1
ALOX15	ALOX15	target	1
ARFGAP3	ARFGAP3	target	1
ASS1	ASS1	target	1
ATG3	ATG3	target	1
BACH1	BACH1	target	1
BATF2	BATF2	target	1
BRCA2	BRCA2	target	1
BTN3A1	BTN3A1	target	1
BTN3A2	BTN3A2	target	1
C15orf48	C15orf48	target	1
C2	C2	target	1
C4A	C4A	target	1
CALCA	CALCA	target	1
CALHM6	CALHM6	target	1
CAMK4	CAMK4	target	1
CASP10	CASP10	target	1
CASP4	CASP4	target	1
CASP5	CASP5	target	1
CASP7	CASP7	target	1
CCL11	CCL11	target	1
CCL13	CCL13	target	1
CCL26	CCL26	target	1
CCNA1	CCNA1	target	1
CCR3	CCR3	target	1
CCR4	CCR4	target	1
CCR6	CCR6	target	1
CD2	CD2	target	1
CD72	CD72	target	1
CFB	CFB	target	1
CGAS	CGAS	target	1
CHI3L2	CHI3L2	target	1
CLEC2D	CLEC2D	target	1
CLEC5A	CLEC5A	target	1
CORO1A	CORO1A	target	1
CSK	CSK	target	1
CXCL16	CXCL16	target	1
CXCL17	CXCL17	target	1
CXCL6	CXCL6	target	1
CYRIA	CYRIA	target	1
CYSLTR2	CYSLTR2	target	1
DDIT4	DDIT4	target	1
DEFB103B	DEFB103B	target	1
DEFB4A	DEFB4A	target	1
DEPP1	DEPP1	target	1
DNASE1L3	DNASE1L3	target	1
DOK1	DOK1	target	1
EIF2S2	EIF2S2	target	1
EIF4EBP1	EIF4EBP1	target	1
ERAP1	ERAP1	target	1
ETV7	ETV7	target	1
FBP1	FBP1	target	1
FCN1	FCN1	target	1
FGL2	FGL2	target	1
FKBP1A	FKBP1A	target	1
FMNL2	FMNL2	target	1
GART	GART	target	1
GBP3	GBP3	target	1
GBP5	GBP5	target	1
GGT5	GGT5	target	1
GJA5	GJA5	target	1
GLIPR2	GLIPR2	target	1
GNA13	GNA13	target	1
GNA14	GNA14	target	1
GNAI2	GNAI2	target	1
GPR19	GPR19	target	1
GPX1	GPX1	target	1
GSDMC	GSDMC	target	1
GSDMD	GSDMD	target	1
HCK	HCK	target	1
HLA-DOA	HLA-DOA	target	1
HLA-DOB	HLA-DOB	target	1
HLA-DQB1	HLA-DQB1	target	1
HLA-F	HLA-F	target	1
HP	HP	target	1
IFI30	IFI30	target	1
IGHM	IGHM	target	1
IL17RA	IL17RA	target	1
IL18R1	IL18R1	target	1
IL18RAP	IL18RAP	target	1
IL25	IL25	target	1
IL31RA	IL31RA	target	1
IL4I1	IL4I1	target	1
IL6R	IL6R	target	1
IL9	IL9	target	1
INSRR	INSRR	target	1
IRAK2	IRAK2	target	1
KARS1	KARS1	target	1
KLF6	KLF6	target	1
KLRG1	KLRG1	target	1
KMO	KMO	target	1
KRT17	KRT17	target	1
KYNU	KYNU	target	1
LAT2	LAT2	target	1
LIF	LIF	target	1
LIFR	LIFR	target	1
LILRB1	LILRB1	target	1
LIMK1	LIMK1	target	1
LPIN2	LPIN2	target	1
LRRK2	LRRK2	target	1
LST1	LST1	target	1
MANF	MANF	target	1
MARCHF1	MARCHF1	target	1
MCHR1	MCHR1	target	1
MEFV	MEFV	target	1
MLKL	MLKL	target	1
MMP25	MMP25	target	1
MNDA	MNDA	target	1
MT1A	MT1A	target	1
MTHFD2	MTHFD2	target	1
MUC1	MUC1	target	1
MUC4	MUC4	target	1
NCR3	NCR3	target	1
NEURL3	NEURL3	target	1
NFE2L3	NFE2L3	target	1
NLRC5	NLRC5	target	1
NTRK1	NTRK1	target	1
OPTN	OPTN	target	1
P2RY14	P2RY14	target	1
P2RY6	P2RY6	target	1
PANX1	PANX1	target	1
PARVG	PARVG	target	1
PCSK1	PCSK1	target	1
PDE3B	PDE3B	target	1
PEA15	PEA15	target	1
PIGR	PIGR	target	1
POMP	POMP	target	1
PRAME	PRAME	target	1
PRF1	PRF1	target	1
PRKCQ	PRKCQ	target	1
PSMA4	PSMA4	target	1
PSMA6	PSMA6	target	1
PSMB2	PSMB2	target	1
PTPN6	PTPN6	target	1
PTX3	PTX3	target	1
RAB20	RAB20	target	1
RAC2	RAC2	target	1
RAP2B	RAP2B	target	1
RARRES1	RARRES1	target	1
RBCK1	RBCK1	target	1
RFX5	RFX5	target	1
RNF114	RNF114	target	1
RTP4	RTP4	target	1
S100A7	S100A7	target	1
S100A9	S100A9	target	1
S1PR1	S1PR1	target	1
S1PR2	S1PR2	target	1
S1PR3	S1PR3	target	1
SBNO2	SBNO2	target	1
SERPINA1	SERPINA1	target	1
SERPING1	SERPING1	target	1
SERPINH1	SERPINH1	target	1
SLC1A3	SLC1A3	target	1
SLC4A4	SLC4A4	target	1
STC2	STC2	target	1
STING1	STING1	target	1
STX11	STX11	target	1
TAPBP	TAPBP	target	1
TAPBPL	TAPBPL	target	1
TBXAS1	TBXAS1	target	1
TCIRG1	TCIRG1	target	1
THY1	THY1	target	1
TMEM140	TMEM140	target	1
TMEM171	TMEM171	target	1
TNFRSF14	TNFRSF14	target	1
TNFSF13	TNFSF13	target	1
TOP1	TOP1	target	1
TRAFD1	TRAFD1	target	1
TSPAN33	TSPAN33	target	1
TXK	TXK	target	1
UBE2D1	UBE2D1	target	1
VRK2	VRK2	target	1
VSNL1	VSNL1	target	1
WARS1	WARS1	target	1
WDFY1	WDFY1	target	1
XCL1	XCL1	target	1
